,link,summary,templates,related_status,related_timestep,source
10,https://drive.google.com/file/d/1Rpa2n1sOJL0ziTF0olXDvqc5TGKIdhAM/view?usp=sharing,nan,,,,
37,https://drive.google.com/file/d/17yDDrJw-NRGENwgzK-VsqEsfva6b2DUl/view?usp=sharing,Risk of physical damage! The frame is damaged and the battery is empty. The drone is flying in strong winds at a 30m altitude. [SEP],The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.The drone is flying in a strong wind of 22m/s with a low battery level at 0%.,"{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""WindSpeed (m/s)"": 22}",,"{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""WindSpeed (m/s)"": 22}"
27,https://drive.google.com/file/d/1IkiCOCuBo8FPPheDJAaeGrIL36qwRahs/view?usp=sharing,"Risk of physical damage! The drone's frame needs repairing and its battery is low. It's flying .5m above the ground. [SEP]
(0:03) Risk of physical damage! The drone is flying near to a car 1m away. [SEP]",The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0}"
32,https://drive.google.com/file/d/1MA-gR1VtrrBHu_aOa7v4EV8wUqtnuGvF/view?usp=sharing,Risk of physical damage! The drone has an empty battery. It’s flying at an altitude of 26m. [SEP],The flying drone is runing out of battery with only 0% charge.,"{""Battery_level"": 0}",,"{""Battery_level"": 0}"
6,https://drive.google.com/file/d/1GAGvlNF1JksB9S_E7G9ptYgk6qsWY6rp/view?usp=sharing,Risk of physical damage! The drone has low battery. It’s flying at an altitude of 2m. [SEP],The flying drone is runing out of battery with only 20% charge.,"{""Battery_level"": 20}",,"{""Battery_level"": 20}"
8,https://drive.google.com/file/d/1jz1J7weoF4xVY8cQFCmQpfw-4uCue43v/view?usp=sharing,Risk of physical damage! The drone has low battery. It’s flying at an altitude of 1m. [SEP],The flying drone is runing out of battery with only 20% charge.,"{""Battery_level"": 20}",,"{""Battery_level"": 20}"
34,https://drive.google.com/file/d/1rx8d2em8i6LkfVyc1YP2mn-V3-uAkBeZ/view?usp=sharing,Risk of physical damage! The drone has a damaged frame and empty battery. It’s flying at an altitude of 30m. [SEP],The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 0}{""Normal_frame"": false}",,"{""Battery_level"": 0}{""Normal_frame"": false}"
47,https://drive.google.com/file/d/1GW0DChJCVUTYujK6lN_vrVhjK_mk2fMq/view?usp=sharing,Risk of physical damage! The battery is running low and the frame is damaged. The drone is flying at a 16m altitude. [SEP],The flying drone is runing out of battery with only 10% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 10}{""Normal_frame"": false}",,"{""Battery_level"": 10}{""Normal_frame"": false}"
23,https://drive.google.com/file/d/1P3Ng8uW8M5MIS4T9RQ7Lczne1vtjb4aD/view?usp=sharing,"Risk of physical damage! The frame is in need of repair. [SEP]
(0:00) Risk of physical damage! The drone is flying near a car which is .5m away. [SEP]",The drone is flying with a damaged frame.(0:02) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 0.5}"
21,https://drive.google.com/file/d/1srY5QomMXViMOgJ2o--xj99M-0JXgo7C/view?usp=sharing,"Risk of physical damage! The drone is flying with low battery at a 1.5m altitude . [SEP]
(0:03) Risk of physical damage! There's a car in .2m in the flight path. [SEP]",(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}"
19,https://drive.google.com/file/d/1PMfvK-TkYVDTnjGeWGomT6FS07LOMqOS/view?usp=sharing,Risk of physical damage! The drone's battery is running low and its frame is damaged. It's flying at a 1m altitude. [SEP],The flying drone is runing out of battery with only 20% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 20}{""Normal_frame"": false}",,"{""Battery_level"": 20}{""Normal_frame"": false}"
38,https://drive.google.com/file/d/1AU3qu5gNJcocN_UxskA5_ZmVlq1xvzfS/view?usp=sharing,Risk of physical damage! The drone has a damaged frame. [SEP],The drone is flying with a damaged frame.,"{""Normal_frame"": false}",,"{""Normal_frame"": false}"
4,https://drive.google.com/file/d/1S4rbzXUQ9HeDjbDYGVsrSyo0wRXRGbdx/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying backwards and at an altitude of 3m. [SEP]
(0:03) Risk of physical damage! There's a car only 1m away. [SEP]
(0:06) Risk of physical damage! Now the car is in the drone's flight path at a distance of .2m. [SEP]",The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.0m. (0:06) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.(0:06) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}"
43,https://drive.google.com/file/d/1UeMiBX79nMiHRIJmThLeIWLGM31yHEDb/view?usp=sharing,(0:03) Risk of physical damage! The drone is flying toward a car in its path 5m away. [SEP],(0:05) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.5m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 5.0m.,,"{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 5.0}","{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 5.0}"
11,https://drive.google.com/file/d/1Rpa2n1sOJL0ziTF0olXDvqc5TGKIdhAM/view?usp=sharing,nan,,,,
18,https://drive.google.com/file/d/1PMfvK-TkYVDTnjGeWGomT6FS07LOMqOS/view?usp=sharing,Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 1m. [SEP],The flying drone is runing out of battery with only 20% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 20}{""Normal_frame"": false}",,"{""Battery_level"": 20}{""Normal_frame"": false}"
17,https://drive.google.com/file/d/1bYMgljC5yGfNNW2VrUx70CPhz9ZwQATL/view?usp=sharing,Risk of physical damage! The frame is damaged and the battery is running low. The drone is flying at a 1m altitude and the wind is strong. [SEP],The drone is flying with a damaged frame.The drone is flying in a strong wind of 18m/s with a low battery level at 30%.,"{""Normal_frame"": false}{""Battery_level"": 30, ""WindSpeed (m/s)"": 18}",,"{""Normal_frame"": false}{""Battery_level"": 30, ""WindSpeed (m/s)"": 18}"
35,https://drive.google.com/file/d/1rx8d2em8i6LkfVyc1YP2mn-V3-uAkBeZ/view?usp=sharing,Risk of physical damage! The drone has is flying on empty battery with a damaged frame at a 30m altitude. [SEP],The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 0}{""Normal_frame"": false}",,"{""Battery_level"": 0}{""Normal_frame"": false}"
44,https://drive.google.com/file/d/1DOr3dWyTNDWYeueYu9s34JsrQN94fZqf/view?usp=sharing,nan,,,,
48,https://drive.google.com/file/d/1FxS0x51NRFnTlpWygjJej2qryroUX9I4/view?usp=sharing,Risk of physical damage! The drone has an empty battery. It’s flying at an altitude of 10m. [SEP],The flying drone is runing out of battery with only 10% charge.,"{""Battery_level"": 10}",,"{""Battery_level"": 10}"
24,https://drive.google.com/file/d/1HPqM3Mqt957F-f1HTaImAPQNgBzZfS1e/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 2m in strong wind. [SEP]
(0:04) Risk of physical damage! There's a car only .4m away. [SEP]",The flying drone is runing out of battery with only 20% charge.The drone is flying in a strong wind of 21m/s with a low battery level at 20%.(0:02) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m. (0:04) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.4m.,"{""Battery_level"": 20}{""Battery_level"": 20, ""WindSpeed (m/s)"": 21}","{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:04"", ""name"": ""car"", ""Distance"": 0.4}","{""Battery_level"": 20}{""Battery_level"": 20, ""WindSpeed (m/s)"": 21}{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:04"", ""name"": ""car"", ""Distance"": 0.4}"
33,https://drive.google.com/file/d/1MA-gR1VtrrBHu_aOa7v4EV8wUqtnuGvF/view?usp=sharing,Risk of physical damage! The drone is flying with empty battery at a 26m altitude. [SEP],The flying drone is runing out of battery with only 0% charge.,"{""Battery_level"": 0}",,"{""Battery_level"": 0}"
46,https://drive.google.com/file/d/1GW0DChJCVUTYujK6lN_vrVhjK_mk2fMq/view?usp=sharing,Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 16m. [SEP],The flying drone is runing out of battery with only 10% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 10}{""Normal_frame"": false}",,"{""Battery_level"": 10}{""Normal_frame"": false}"
7,https://drive.google.com/file/d/1GAGvlNF1JksB9S_E7G9ptYgk6qsWY6rp/view?usp=sharing,Risk of physical damage! The drone is flying with a low battery. It’s also flying at an altitude of 2m. [SEP],The flying drone is runing out of battery with only 20% charge.,"{""Battery_level"": 20}",,"{""Battery_level"": 20}"
29,https://drive.google.com/file/d/1h2UrKzlWkJ7tcdveLAQgiifouJRmOy3F/view?usp=sharing,(0:03) Risk of physical damage! In .3m there's a car in the drone's path. [SEP],(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.3m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.,,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.3}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.3}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.3}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.3}"
39,https://drive.google.com/file/d/1AU3qu5gNJcocN_UxskA5_ZmVlq1xvzfS/view?usp=sharing,Risk of physical damage! The frame is in need of repair. [SEP],The drone is flying with a damaged frame.,"{""Normal_frame"": false}",,"{""Normal_frame"": false}"
49,https://drive.google.com/file/d/1FxS0x51NRFnTlpWygjJej2qryroUX9I4/view?usp=sharing,Risk of physical damage! The drone is flying with empty battery at a 10m altitude. [SEP],The flying drone is runing out of battery with only 10% charge.,"{""Battery_level"": 10}",,"{""Battery_level"": 10}"
