,link,summary,templates,related_status,related_timestep,source
73,https://drive.google.com/file/d/1cyc_AlAto7FiPmajSzdNw4AgErKrgSje/view?usp=sharing,"Risk of internal damage! The drone is not waterproof and the weather is overcast. [SEP]
(0:00) Risk of physical damage! There's a tree in 3m in the drone's flight path. [SEP]
(0:02) Risk of physical damage! There's another tree in 5m in the drone's path. [SEP]
(0:04) Risk of physical damage! The drone is 5m from another tree in its path. [SEP]
(0:07) Risk of physical damage! The drone is flying near a tree 2m away. [SEP]","The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:01) The drone is facing the risk of physical damage. It's flying too close to tree 1 at a distance of 3.0m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to tree 5 at a distance of 2.0m, and the pilot is not experienced.(0:01) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 3.0m. (0:02) The drone is facing the risk of physical damage. There is a tree 2 in the drone's flight path at a distance of 5.0m. (0:04) The drone is facing the risk of physical damage. There is a tree 4 in the drone's flight path at a distance of 5.0m.","{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""tree 2"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""tree 4"", ""Distance"": 5.0}","{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""tree 2"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""tree 4"", ""Distance"": 5.0}"
30,https://drive.google.com/file/d/1TQnzb5liB3cuIKCoIg5VTtmPeseoZxGZ/view?usp=sharing,"Risk of physical damage! The drone is flying indoors. [SEP]
(0:00) Risk of physical damage! There are bookshelves only .5m away. [SEP]
(0:01) Risk of physical damage! There's an open window in the drone's flight path at a distance of 3m. There's also a desk only 2.5m away. [SEP]
(0:03) Risk of physical damage! There's an open door in the drone's flight path at a distance of 2m. [SEP]","(0:00) The drone is facing the risk of physical damage. It's flying too close to  bookshelves at a distance of 0.5m, and the pilot is not experienced. (0:01) The drone is facing the risk of physical damage. It's flying too close to desk  at a distance of 2.5m, and the pilot is not experienced. (0:01) The drone is facing the risk of physical damage. It's flying too close to open window at a distance of 3.0m, and the pilot is not experienced. (0:03) The drone is facing the risk of physical damage. It's flying too close to building open door at a distance of 2.0m, and the pilot is not experienced.(0:01) The drone is facing the risk of physical damage. There is a open window in the drone's flight path at a distance of 3.0m. (0:02) The drone is facing the risk of physical damage. There is a building in the drone's flight path at a distance of 10.0m. (0:03) The drone is facing the risk of physical damage. There is a building open door in the drone's flight path at a distance of 2.0m.",,"{""time_stamp"": ""0:00"", ""name"": "" bookshelves"", ""Distance"": 0.5} {""time_stamp"": ""0:01"", ""name"": ""desk "", ""Distance"": 2.5} {""time_stamp"": ""0:01"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": ""building open door"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""building"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""building open door"", ""Distance"": 2.0}","{""time_stamp"": ""0:00"", ""name"": "" bookshelves"", ""Distance"": 0.5} {""time_stamp"": ""0:01"", ""name"": ""desk "", ""Distance"": 2.5} {""time_stamp"": ""0:01"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": ""building open door"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""building"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""building open door"", ""Distance"": 2.0}"
18,https://drive.google.com/file/d/1kv7txAcA5E1lwP9HpH-duvkd4cLhx6ZU/view?usp=sharing,"(0:00) Risk of physical damage! There's a ferris wheel ride only 2m away. [SEP]
(0:02) Risk of physical damage! Now there's a ferris wheel only .5m away. [SEP]",,,,
52,https://drive.google.com/file/d/1dR1-MHTgbsif2-g65jwuYRbH4Wm0qfRW/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 2m. [SEP]
(0:00) Risk of physical damage! There's an industrial water tank in the drone's flight path at a distance of 5m. There's also a drone in the drone's flight path at a distance of 3m. [SEP]
(0:01) Risk of physical damage! There's a freight train in the drone's flight path at a distance of 8m. [SEP]
(0:06) Risk of physical damage! There's a bridge only 1m away. [SEP]
(0:07) Risk of physical damage! Now the freight train is in the drone's flight path at a distance of 3m. [SEP]","The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. It's flying too close to coming drone at a distance of 3.0m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:06) The drone is facing the risk of physical damage. It's flying too close to bridge at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is risking physical damage. It's flying too close to the moving coming drone at a distance of 3.0m.(0:00) The drone is facing the risk of physical damage. There is a industrial water tank in the drone's flight path at a distance of 5.0m. (0:00) The drone is facing the risk of physical damage. There is a coming drone in the drone's flight path at a distance of 3.0m. (0:01) The drone is facing the risk of physical damage. There is a leaving freight train  in the drone's flight path at a distance of 8.0m. (0:07) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 3.0m.","{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:06"", ""name"": ""bridge"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0}{""time_stamp"": ""0:00"", ""name"": ""industrial water tank"", ""Distance"": 5.0} {""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0} {""time_stamp"": ""0:01"", ""name"": ""leaving freight train "", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 3.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:06"", ""name"": ""bridge"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0}{""time_stamp"": ""0:00"", ""name"": ""industrial water tank"", ""Distance"": 5.0} {""time_stamp"": ""0:00"", ""name"": ""coming drone"", ""Distance"": 3.0} {""time_stamp"": ""0:01"", ""name"": ""leaving freight train "", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 3.0}"
43,https://drive.google.com/file/d/1JsKXgAmCAUtkwoAZrfGlc0mBGfETEpdy/view?usp=sharing,"(0:00) Risk of physical damage! In 5m there's a quadricycle in the drone's path. [SEP]
(0:04) Risk of physical damage! Now the quadricycle in the flight path is 8m away. [SEP]
(0:06) Risk of physical damage! The quadricycle in the drone's path is now moving and only 1m away. [SEP]
(0:07) Risk of physical damage! The moving quadricycle is .5m away and still in the flight path. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a quadricycle in the drone's flight path at a distance of 5.0m. (0:04) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 8.0m. (0:06) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.,,"{""time_stamp"": ""0:00"", ""name"": ""quadricycle"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 8.0} {""time_stamp"": ""0:06"", ""name"": NaN, ""Distance"": 1.0}","{""time_stamp"": ""0:00"", ""name"": ""quadricycle"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 8.0} {""time_stamp"": ""0:06"", ""name"": NaN, ""Distance"": 1.0}"
67,https://drive.google.com/file/d/1p2ETrKpWleoiXgUWSzVxu51HQS0jeh8I/view?usp=sharing,"Risk of physical damage! The drone's battery is empty and its frame is in need of repair. It’s also flying at an altitude of 300m. [SEP]
(0:00) Risk of physical damage! There's a hot air ballon 5m away and in the flight path. [SEP]",The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.The drone is flying so high at 300.0m height with a low battery level at 0%.(0:00) The drone is facing the risk of physical damage. There is a hot air balloon 1 in the drone's flight path at a distance of 5.0m.,"{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""Altitude (m)"": 300.0}","{""time_stamp"": ""0:00"", ""name"": ""hot air balloon 1"", ""Distance"": 5.0}","{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""Altitude (m)"": 300.0}{""time_stamp"": ""0:00"", ""name"": ""hot air balloon 1"", ""Distance"": 5.0}"
55,https://drive.google.com/file/d/1BflNpVlxrhqVL2FotX-Da_WpGw7A19L7/view?usp=sharing,"Risk of physical damage and lost connection! The drone has low battery and is 4430m away from the remote control. It's flying at an altitude of 5m. [SEP]
(0:0) Risk of physical damage! There's a waterfall in 8m in the drone's path. The drone is also flying only 1m from rocks. [SEP]
(0:0) Risk of physical damage! Now the drone is flying .5m away from the rocks. [SEP]
(0:0) Risk of physical damage! The waterfall is 1m away and in the flight path again. [SEP]
(0:0) Risk of physical damage! Now the drone is flying next to the waterfall, 1m away. [SEP]",The drone has only 40% battery and is 4430m away from the remote control.(0:00) The drone is facing the risk of physical damage. There is a waterfall in the drone's flight path at a distance of 8.0m. (0:04) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.,"{""Distance_from_remote_control (m)"": 4430, ""Battery_level"": 40}","{""time_stamp"": ""0:00"", ""name"": ""waterfall"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 1.0}","{""Distance_from_remote_control (m)"": 4430, ""Battery_level"": 40}{""time_stamp"": ""0:00"", ""name"": ""waterfall"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 1.0}"
76,https://drive.google.com/file/d/1qHuAx4QkOwJrx5APtHqE9Wf5oh52q_WK/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying indoors at an altitude of .5m. [SEP]
(0:00) Risk of physical damage! There's a claw machine in the drone's flight path at a distance of 3m. [SEP]
(0:01) Risk of physical damage! There's a pillar in the drone's flight path at a distance of 1m. [SEP]
(0:02) Risk of physical damage! Now there's a game machine in the drone's flight path at a distance of 2m. [SEP]
(0:03) Risk of physical damage! There's another game machine in the drone's flight path at a distance of 5m. [SEP]
(0:05) Risk of physical damage! There's another game machine only 2m away. [SEP]
(0:07) Risk of physical damage! There's a pillar only 1m away. [SEP]
(0:08) Risk of physical damage! There's a game machine in the drone's flight path at a distance of 3m. [SEP]
(0:09) Risk of physical damage! Now the game machine is only .5m away. [SEP]",The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. There is a claw machine in the drone's flight path at a distance of 3.0m. (0:01) The drone is facing the risk of physical damage. There is a pillar 1 in the drone's flight path at a distance of 1.0m. (0:02) The drone is facing the risk of physical damage. There is a game machine 1 in the drone's flight path at a distance of 2.0m. (0:03) The drone is facing the risk of physical damage. There is a game machine 3 in the drone's flight path at a distance of 5.0m. (0:08) The drone is facing the risk of physical damage. There is a game machine 5 in the drone's flight path at a distance of 3.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""claw machine"", ""Distance"": 3.0} {""time_stamp"": ""0:01"", ""name"": ""pillar 1"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""game machine 1"", ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": ""game machine 3"", ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": ""game machine 5"", ""Distance"": 3.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""claw machine"", ""Distance"": 3.0} {""time_stamp"": ""0:01"", ""name"": ""pillar 1"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""game machine 1"", ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": ""game machine 3"", ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": ""game machine 5"", ""Distance"": 3.0}"
70,https://drive.google.com/file/d/1kdCl8gN-fX8ObLJPF13B0MxhPFOHTPpZ/view?usp=sharing,"Risk of physical damage! The drone is flying backwards. [SEP]
(0:00) Risk of physical damage! There's a ruin in the drone's flight path at a distance of 8m. [SEP]
(0:07) Risk of physical damage! Now there's another ruin in the drone's flight path at a distance of 5m. [SEP]
(0:08) Risk of physical damage! Now the ruin is in the drone's flight path at a distance of 1m. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a rock ruin 1 in the drone's flight path at a distance of 8.0m. (0:07) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 5.0m. (0:08) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.,,"{""time_stamp"": ""0:00"", ""name"": ""rock ruin 1"", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": NaN, ""Distance"": 1.0}","{""time_stamp"": ""0:00"", ""name"": ""rock ruin 1"", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": NaN, ""Distance"": 1.0}"
9,https://drive.google.com/file/d/1ugZjdgJk_YUsk7GlL7NLPSbKMWQVHEas/view?usp=sharing,"(0:00) Risk of physical damage! There is a moving ride seat 1m away and in the drone's path. [SEP]
(0:02) Risk of physical damage! Another ride seat is .5m away and moving while in the drone's path. The other seat in the path is now 3m away. [SEP]
(0:04) Risk of physical damage! Now the drone is flying 3m from the moving ride seat. [SEP]
(0:05) Risk of physical damage! .5m away is a moving chain of a ride seat in the drone's path. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a ride seat 1 in the drone's flight path at a distance of 1.0m. (0:02) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 3.0m. (0:05) The drone is facing the risk of physical damage. There is a chain of ride seat 4 in the drone's flight path at a distance of 0.5m.,,"{""time_stamp"": ""0:00"", ""name"": ""ride seat 1"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": ""chain of ride seat 4"", ""Distance"": 0.5}","{""time_stamp"": ""0:00"", ""name"": ""ride seat 1"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": ""chain of ride seat 4"", ""Distance"": 0.5}"
