rouge1_precision_epoch,rouge1_recall_epoch,rouge1_fmeasure_epoch,rouge2_precision_epoch,rouge2_recall_epoch,rouge2_fmeasure_epoch,rougeL_precision_epoch,rougeL_recall_epoch,rougeL_fmeasure_epoch,rougeLsum_precision_epoch,rougeLsum_recall_epoch,rougeLsum_fmeasure_epoch,bleu_avg_score_epoch,bleu_1_score_epoch,bleu_2_score_epoch,bleu_3_score_epoch,bleu_4_score_epoch,meteor_score_epoch
0.5005,0.6693,0.5455,0.3403,0.4881,0.3754,0.4635,0.6271,0.5063,0.4639,0.6271,0.5064,0.3624,0.5505,0.3879,0.3083,0.262,0.4855
0.5024,0.6747,0.5483,0.3506,0.5023,0.3865,0.4672,0.6343,0.511,0.4675,0.6342,0.5112,0.37,0.5504,0.3945,0.3175,0.2719,0.4895
0.5046,0.6767,0.5507,0.3504,0.5021,0.3869,0.4698,0.637,0.5139,0.4698,0.637,0.5139,0.3704,0.5532,0.3961,0.3171,0.2709,0.493
0.4949,0.6681,0.5415,0.3424,0.493,0.3783,0.4609,0.6281,0.5049,0.4609,0.6277,0.5049,0.3606,0.5472,0.387,0.3078,0.2594,0.4892
0.4946,0.6595,0.5377,0.3398,0.4844,0.3735,0.4596,0.6194,0.5004,0.4597,0.6191,0.5006,0.3579,0.5463,0.3822,0.304,0.2585,0.4802
0.4922,0.6612,0.5369,0.3387,0.487,0.3737,0.4606,0.6251,0.5033,0.4606,0.6248,0.5032,0.3598,0.5472,0.3819,0.3063,0.2619,0.4859
0.4816,0.6427,0.5232,0.3197,0.4593,0.3512,0.4433,0.5993,0.4828,0.4434,0.5989,0.4829,0.3423,0.5366,0.367,0.2877,0.2424,0.4651
0.5004,0.6705,0.5454,0.34,0.4903,0.3751,0.4642,0.6287,0.507,0.4644,0.6289,0.5069,0.3639,0.5505,0.3866,0.3095,0.2662,0.4881
0.499,0.6656,0.5424,0.3469,0.4952,0.3813,0.4656,0.6275,0.5069,0.4659,0.6274,0.507,0.3665,0.5498,0.3908,0.3131,0.2683,0.4922
0.4997,0.6717,0.546,0.3343,0.4824,0.3695,0.4628,0.6288,0.5062,0.4631,0.629,0.5067,0.3544,0.5525,0.378,0.2986,0.253,0.4836
0.4879,0.6587,0.5331,0.3344,0.4827,0.3695,0.4564,0.6217,0.4995,0.4566,0.6213,0.4998,0.3566,0.5453,0.3816,0.3023,0.257,0.4843
0.4926,0.6546,0.5363,0.3355,0.4703,0.3677,0.4619,0.6193,0.5035,0.4621,0.6195,0.504,0.3559,0.5463,0.3819,0.3014,0.2551,0.483
