rouge1_precision_epoch,rouge1_recall_epoch,rouge1_fmeasure_epoch,rouge2_precision_epoch,rouge2_recall_epoch,rouge2_fmeasure_epoch,rougeL_precision_epoch,rougeL_recall_epoch,rougeL_fmeasure_epoch,rougeLsum_precision_epoch,rougeLsum_recall_epoch,rougeLsum_fmeasure_epoch,bleu_avg_score_epoch,bleu_1_score_epoch,bleu_2_score_epoch,bleu_3_score_epoch,bleu_4_score_epoch,meteor_score_epoch
0.1193,0.0088,0.016,0.0,0.0,0.0,0.1206,0.0089,0.0162,0.1196,0.0088,0.0161,0.0,0.4763,0.0,0.0,0.0,0.0961
0.0006,0.0002,0.0002,0.0,0.0,0.0,0.0006,0.0002,0.0003,0.0006,0.0002,0.0002,0.0,0.112,0.0,0.0,0.0,0.0626
0.1282,0.0565,0.0758,0.0004,0.0002,0.0003,0.1183,0.0519,0.0697,0.1184,0.0519,0.0696,0.0,0.2077,0.0307,0.0001,0.0,0.1179
0.2007,0.2205,0.2052,0.0291,0.0302,0.029,0.1646,0.1787,0.1673,0.1644,0.1785,0.1672,0.0,0.2287,0.0376,0.009,0.0,0.1545
0.2558,0.2171,0.2272,0.0431,0.034,0.0374,0.221,0.1877,0.1965,0.2212,0.1873,0.1962,0.0341,0.2965,0.0767,0.0256,0.0023,0.2074
0.294,0.2725,0.2665,0.0709,0.0563,0.0615,0.2407,0.2273,0.2187,0.2403,0.2274,0.2186,0.0777,0.3256,0.1124,0.0438,0.0227,0.236
0.2539,0.24,0.235,0.0714,0.0582,0.0631,0.2335,0.221,0.216,0.2338,0.221,0.216,0.0855,0.3211,0.112,0.0555,0.0267,0.2311
0.3034,0.2685,0.2721,0.1215,0.0977,0.105,0.2715,0.2407,0.2426,0.2715,0.2405,0.2427,0.1161,0.3481,0.1455,0.0746,0.0481,0.2631
0.354,0.3188,0.3172,0.1777,0.1525,0.1536,0.3201,0.2901,0.2868,0.3203,0.2902,0.2867,0.1539,0.3545,0.1717,0.1093,0.0843,0.2752
0.3379,0.2791,0.2929,0.1682,0.1231,0.1397,0.3013,0.25,0.2611,0.3015,0.25,0.2613,0.1435,0.3721,0.1668,0.1046,0.0652,0.2663
0.3499,0.3362,0.3215,0.1548,0.1428,0.1395,0.2955,0.2922,0.2737,0.2957,0.2925,0.2738,0.1477,0.383,0.1663,0.1039,0.072,0.3002
0.3524,0.3312,0.3199,0.2071,0.1886,0.1831,0.3323,0.3134,0.3015,0.3325,0.3136,0.3015,0.1818,0.3775,0.1965,0.1339,0.11,0.2842
0.3453,0.348,0.3321,0.1833,0.179,0.1732,0.3085,0.3148,0.2975,0.3085,0.3148,0.2976,0.1682,0.3836,0.1916,0.1225,0.0889,0.2862
0.3729,0.3479,0.3433,0.217,0.1933,0.195,0.3361,0.3165,0.3097,0.3359,0.3164,0.3098,0.1846,0.3972,0.2085,0.1365,0.1027,0.299
0.3278,0.3586,0.3257,0.1882,0.2039,0.1844,0.3012,0.3324,0.2996,0.3014,0.3325,0.2998,0.1816,0.3944,0.203,0.1374,0.0989,0.294
0.3493,0.3685,0.3458,0.2005,0.2051,0.1957,0.3205,0.341,0.318,0.3206,0.3409,0.3179,0.2134,0.408,0.2196,0.165,0.1403,0.3026
0.3541,0.3401,0.331,0.1763,0.1637,0.1616,0.3013,0.2943,0.2824,0.3014,0.2944,0.2826,0.1537,0.3839,0.1812,0.1049,0.0764,0.2824
0.367,0.3442,0.3378,0.2149,0.1899,0.1921,0.3375,0.3188,0.3109,0.3373,0.3188,0.3109,0.1935,0.4121,0.218,0.1447,0.1078,0.3077
0.3564,0.3718,0.3447,0.1861,0.1935,0.1777,0.3221,0.3393,0.3124,0.3223,0.3392,0.3123,0.1898,0.4009,0.2036,0.1402,0.1135,0.2979
0.3722,0.3801,0.3576,0.2218,0.2216,0.2091,0.3348,0.3466,0.3226,0.3348,0.3464,0.3227,0.2138,0.4291,0.2331,0.1631,0.1282,0.3234
0.3877,0.3778,0.3609,0.2375,0.2261,0.2172,0.3481,0.3422,0.3248,0.3481,0.342,0.3248,0.218,0.4333,0.2273,0.1662,0.138,0.3229
0.371,0.3765,0.3594,0.2352,0.2246,0.2225,0.3456,0.352,0.3346,0.3456,0.352,0.3346,0.2444,0.4256,0.2484,0.1966,0.1716,0.3219
0.3866,0.4037,0.3747,0.229,0.2258,0.2174,0.3457,0.367,0.3364,0.3456,0.3667,0.3364,0.2236,0.428,0.24,0.1766,0.1378,0.3321
0.382,0.4211,0.379,0.2228,0.2399,0.2178,0.347,0.3882,0.3456,0.3473,0.3882,0.3457,0.2235,0.4373,0.236,0.1723,0.1404,0.3318
0.3657,0.4366,0.3775,0.205,0.2317,0.2072,0.3348,0.4042,0.3462,0.3349,0.4042,0.3463,0.2147,0.4145,0.2229,0.1651,0.1393,0.3116
0.3705,0.4409,0.3841,0.218,0.2518,0.2227,0.3444,0.4125,0.3576,0.3448,0.4126,0.3576,0.2297,0.4344,0.2386,0.1793,0.1498,0.3289
0.3594,0.4089,0.3627,0.2029,0.2263,0.2023,0.3294,0.3794,0.3334,0.3294,0.3793,0.3334,0.2105,0.4217,0.2149,0.1625,0.1334,0.3085
0.3447,0.4098,0.3515,0.1968,0.234,0.1988,0.321,0.3841,0.3276,0.321,0.3844,0.3276,0.1997,0.3978,0.212,0.1559,0.121,0.2939
0.3528,0.4172,0.3646,0.2121,0.2462,0.2171,0.3286,0.3922,0.3402,0.3287,0.3922,0.3402,0.2321,0.4129,0.2355,0.1882,0.1587,0.3204
0.3671,0.4787,0.3912,0.2097,0.2985,0.2255,0.3345,0.4421,0.3574,0.3346,0.4423,0.3575,0.2277,0.4244,0.2346,0.1796,0.1503,0.3238
0.3573,0.4275,0.3716,0.2124,0.2462,0.2178,0.3323,0.4016,0.3465,0.3327,0.4017,0.3465,0.2291,0.4141,0.2317,0.1831,0.1568,0.3078
0.3585,0.4704,0.3848,0.2148,0.2859,0.2292,0.3355,0.442,0.36,0.3356,0.4422,0.3601,0.2342,0.4147,0.2385,0.188,0.1618,0.3155
0.353,0.4549,0.3764,0.2096,0.2885,0.2244,0.333,0.4334,0.3557,0.3331,0.4334,0.3557,0.2295,0.4183,0.2386,0.184,0.151,0.3237
0.3874,0.4907,0.4074,0.2497,0.3361,0.2636,0.3675,0.4695,0.3873,0.3675,0.4698,0.3872,0.2639,0.4444,0.2716,0.2151,0.1869,0.3462
0.3797,0.4887,0.4026,0.2422,0.3315,0.2577,0.3589,0.4663,0.3813,0.359,0.4665,0.3812,0.261,0.4371,0.2676,0.2139,0.1857,0.348
0.3782,0.4603,0.3915,0.2267,0.277,0.2322,0.356,0.4373,0.3693,0.3562,0.4373,0.3692,0.2372,0.4388,0.2405,0.1875,0.1598,0.3332
0.379,0.4941,0.4055,0.2254,0.3183,0.2432,0.3548,0.4676,0.3803,0.3549,0.4679,0.3803,0.2438,0.4354,0.2498,0.195,0.1665,0.3373
0.3914,0.5076,0.4175,0.2367,0.3296,0.254,0.3667,0.4801,0.3918,0.3671,0.4803,0.3919,0.2494,0.4468,0.2599,0.1984,0.168,0.351
0.3815,0.4912,0.4078,0.2274,0.2986,0.242,0.3525,0.4589,0.3776,0.3527,0.4592,0.3777,0.2475,0.4357,0.253,0.1985,0.1715,0.3415
0.3838,0.4977,0.409,0.24,0.3316,0.2568,0.3578,0.4689,0.3822,0.3579,0.4689,0.3821,0.2597,0.442,0.2667,0.2115,0.1825,0.3515
0.3741,0.4821,0.4001,0.2383,0.3211,0.255,0.3543,0.4597,0.3794,0.3541,0.4597,0.3791,0.251,0.4345,0.2571,0.2033,0.1746,0.337
0.3829,0.483,0.4021,0.2327,0.3149,0.2455,0.3558,0.4549,0.3748,0.3559,0.455,0.3748,0.2392,0.4455,0.2504,0.1869,0.157,0.3409
0.3686,0.4922,0.3978,0.2331,0.3319,0.2527,0.3507,0.4713,0.3789,0.3508,0.4716,0.3789,0.2483,0.4318,0.2542,0.2,0.1732,0.335
0.3737,0.4909,0.4006,0.2125,0.3084,0.2312,0.3483,0.4635,0.3745,0.3486,0.464,0.3746,0.2274,0.4364,0.2422,0.1755,0.1441,0.3365
0.3786,0.5067,0.4105,0.2256,0.3268,0.2467,0.3495,0.4745,0.38,0.3498,0.4749,0.3802,0.2409,0.4371,0.2516,0.1905,0.1607,0.3432
0.4045,0.5286,0.4325,0.2569,0.3595,0.2763,0.3777,0.4983,0.4044,0.3775,0.4982,0.4041,0.2767,0.464,0.285,0.2264,0.1959,0.3674
0.407,0.5276,0.4347,0.2472,0.3421,0.2652,0.3686,0.4853,0.3947,0.3688,0.4856,0.3949,0.2626,0.4594,0.2736,0.2115,0.1788,0.3645
0.3923,0.5182,0.4221,0.242,0.3426,0.262,0.3628,0.4856,0.3914,0.3627,0.4856,0.3915,0.2644,0.4566,0.2732,0.2154,0.1817,0.3646
0.3868,0.5064,0.4144,0.2253,0.3219,0.2443,0.3556,0.4723,0.3821,0.3559,0.4729,0.3824,0.24,0.4537,0.2543,0.188,0.153,0.3516
0.3971,0.5067,0.4187,0.2276,0.3188,0.2427,0.3583,0.4663,0.3796,0.3585,0.4667,0.3796,0.2373,0.4569,0.2542,0.1827,0.1495,0.353
0.3976,0.5177,0.424,0.2305,0.3273,0.2482,0.359,0.4758,0.3842,0.3591,0.4759,0.3843,0.2437,0.4605,0.2658,0.1885,0.153,0.3587
0.4015,0.5116,0.4235,0.2395,0.3323,0.2554,0.3621,0.4712,0.3841,0.3624,0.4716,0.3841,0.2448,0.4576,0.2666,0.1903,0.1546,0.362
0.3941,0.5323,0.4294,0.2208,0.3294,0.2442,0.3513,0.4843,0.3845,0.3517,0.4848,0.3846,0.2322,0.4538,0.2518,0.1781,0.1429,0.3496
0.4008,0.5095,0.4215,0.2414,0.3363,0.2567,0.3649,0.4717,0.3851,0.3649,0.4721,0.385,0.2425,0.4676,0.2636,0.1862,0.1507,0.3714
0.4072,0.5099,0.4253,0.2307,0.3186,0.2442,0.3652,0.4672,0.3834,0.3652,0.4675,0.3834,0.2341,0.4631,0.2574,0.1775,0.142,0.3659
0.4175,0.5281,0.4382,0.2394,0.3393,0.2557,0.3738,0.4834,0.3943,0.3739,0.4837,0.3943,0.2477,0.4778,0.2646,0.1901,0.1567,0.3746
0.4026,0.5169,0.4261,0.2316,0.3277,0.2484,0.3584,0.471,0.3813,0.3582,0.4711,0.3812,0.2379,0.4704,0.2617,0.18,0.1446,0.3715
0.4074,0.5222,0.4305,0.2337,0.3335,0.251,0.3654,0.4779,0.3876,0.3653,0.4782,0.3877,0.2479,0.4753,0.267,0.1911,0.1558,0.3809
0.4102,0.5175,0.4292,0.2405,0.3378,0.256,0.3716,0.4781,0.3907,0.3718,0.4781,0.3909,0.2487,0.4818,0.2701,0.1899,0.1547,0.3822
0.4115,0.5286,0.4346,0.244,0.3502,0.2623,0.3719,0.4869,0.3944,0.3719,0.4874,0.3946,0.2542,0.483,0.278,0.1979,0.1573,0.3872
0.4106,0.5116,0.4279,0.249,0.3394,0.2623,0.3802,0.4801,0.3971,0.3802,0.4805,0.397,0.2627,0.4855,0.2779,0.2074,0.1702,0.3819
0.3912,0.5236,0.4226,0.2261,0.3344,0.2481,0.358,0.4876,0.3884,0.358,0.4878,0.3884,0.2459,0.4601,0.2632,0.1914,0.1577,0.3639
0.4165,0.5381,0.443,0.254,0.3526,0.2719,0.3837,0.5027,0.4092,0.3838,0.5028,0.4092,0.2718,0.4762,0.2856,0.2197,0.1826,0.3853
0.4168,0.5476,0.4472,0.2493,0.3594,0.2709,0.3778,0.5046,0.4066,0.3777,0.5049,0.4066,0.2592,0.4801,0.2828,0.2036,0.1633,0.3889
0.4091,0.5388,0.4396,0.2361,0.3447,0.2578,0.3651,0.4911,0.3943,0.3653,0.4913,0.3943,0.2491,0.47,0.2677,0.1937,0.1579,0.3822
0.4139,0.5272,0.438,0.2629,0.3597,0.2803,0.3873,0.4984,0.4104,0.3872,0.4985,0.4104,0.2796,0.4763,0.2901,0.2289,0.1933,0.39
