rouge1_precision_epoch,rouge1_recall_epoch,rouge1_fmeasure_epoch,rouge2_precision_epoch,rouge2_recall_epoch,rouge2_fmeasure_epoch,rougeL_precision_epoch,rougeL_recall_epoch,rougeL_fmeasure_epoch,rougeLsum_precision_epoch,rougeLsum_recall_epoch,rougeLsum_fmeasure_epoch,bleu_avg_score_epoch,bleu_1_score_epoch,bleu_2_score_epoch,bleu_3_score_epoch,bleu_4_score_epoch,meteor_score_epoch
0.2088,0.0289,0.0485,0.0,0.0,0.0,0.2032,0.0271,0.0458,0.2033,0.0273,0.0461,0.0,0.6672,0.0013,0.0,0.0,0.1136
0.2385,0.2173,0.21,0.0021,0.0027,0.0022,0.1856,0.1665,0.1632,0.1855,0.1664,0.1631,0.0,0.2654,0.0282,0.0005,0.0,0.1503
0.2384,0.2237,0.2081,0.0565,0.0401,0.0439,0.221,0.1988,0.1911,0.2211,0.1989,0.1912,0.0481,0.2995,0.0618,0.0285,0.0102,0.1937
0.2973,0.2821,0.2687,0.1165,0.0887,0.0992,0.2626,0.2411,0.2352,0.2623,0.2411,0.2352,0.1054,0.3442,0.1074,0.0706,0.0473,0.2257
0.3126,0.2943,0.2835,0.1355,0.1075,0.1158,0.2857,0.2673,0.2577,0.2855,0.2675,0.2577,0.1248,0.3526,0.1263,0.0863,0.0631,0.2296
0.3398,0.3113,0.2998,0.1222,0.0924,0.1011,0.3067,0.2739,0.2691,0.3065,0.274,0.2693,0.1101,0.3686,0.1229,0.0683,0.0475,0.2523
0.3619,0.3618,0.3399,0.1658,0.1421,0.1485,0.3362,0.3262,0.3132,0.3361,0.3261,0.3131,0.1477,0.3911,0.1647,0.1033,0.0715,0.2871
0.3277,0.3755,0.3282,0.1228,0.1422,0.1217,0.3092,0.3554,0.3094,0.3093,0.3556,0.3095,0.1256,0.372,0.1349,0.0845,0.0586,0.2676
0.3578,0.4025,0.3566,0.1541,0.1696,0.1504,0.3402,0.3827,0.3383,0.34,0.3828,0.3383,0.1519,0.4182,0.18,0.1027,0.0688,0.3119
0.3744,0.4167,0.3743,0.1845,0.199,0.1805,0.353,0.3937,0.3525,0.3532,0.3937,0.3525,0.1639,0.4285,0.2052,0.1153,0.0712,0.3122
