rouge1_precision_epoch,rouge1_recall_epoch,rouge1_fmeasure_epoch,rouge2_precision_epoch,rouge2_recall_epoch,rouge2_fmeasure_epoch,rougeL_precision_epoch,rougeL_recall_epoch,rougeL_fmeasure_epoch,rougeLsum_precision_epoch,rougeLsum_recall_epoch,rougeLsum_fmeasure_epoch,bleu_avg_score_epoch,bleu_1_score_epoch,bleu_2_score_epoch,bleu_3_score_epoch,bleu_4_score_epoch,meteor_score_epoch
0.3446,0.3603,0.3202,0.0964,0.0932,0.0858,0.2909,0.3149,0.2719,0.2915,0.3155,0.2726,0.0358,0.3252,0.083,0.0147,0.0042,0.2237
0.4985,0.5089,0.4616,0.2703,0.2907,0.2506,0.4606,0.4794,0.4289,0.4621,0.4797,0.43,0.2346,0.5054,0.2882,0.1771,0.1174,0.3933
0.5606,0.6026,0.5447,0.3698,0.394,0.3547,0.5292,0.5729,0.5142,0.5306,0.5727,0.515,0.3303,0.5748,0.3872,0.2719,0.1967,0.4853
0.5707,0.646,0.5755,0.4165,0.4656,0.4165,0.5554,0.6306,0.5603,0.557,0.6305,0.5605,0.4243,0.6073,0.4562,0.3664,0.3193,0.5493
0.5719,0.6532,0.5759,0.4184,0.4866,0.4196,0.5598,0.6404,0.5634,0.561,0.6408,0.5641,0.4086,0.6007,0.433,0.3484,0.3075,0.5322
0.5805,0.7022,0.5997,0.4235,0.5413,0.4407,0.5644,0.6862,0.5837,0.5654,0.6864,0.584,0.428,0.6084,0.4551,0.3699,0.3277,0.5524
0.6196,0.7307,0.6317,0.475,0.5854,0.4869,0.6042,0.7155,0.6162,0.6056,0.7152,0.6163,0.4667,0.6481,0.5034,0.4042,0.3597,0.6067
0.6183,0.7222,0.6263,0.4754,0.5824,0.4849,0.6005,0.7052,0.6086,0.6015,0.7052,0.6094,0.4641,0.6405,0.4931,0.4063,0.3614,0.5931
0.6286,0.7519,0.6468,0.5098,0.6306,0.527,0.6191,0.743,0.6378,0.6206,0.743,0.6381,0.5051,0.6515,0.5301,0.4583,0.4111,0.6273
0.6562,0.7669,0.6673,0.534,0.6443,0.5449,0.645,0.7558,0.6563,0.6463,0.7555,0.6568,0.5236,0.6721,0.5474,0.4758,0.4293,0.6487
0.6107,0.7219,0.6227,0.4737,0.5829,0.4843,0.6019,0.712,0.6131,0.6036,0.7118,0.6139,0.4651,0.6393,0.5003,0.4082,0.3585,0.5946
0.6324,0.7562,0.65,0.5009,0.6249,0.5185,0.6217,0.7455,0.6395,0.6226,0.7452,0.64,0.4912,0.6493,0.5205,0.4391,0.3921,0.6134
0.6244,0.7587,0.6486,0.4996,0.6301,0.5214,0.6093,0.743,0.6338,0.6101,0.743,0.6347,0.4952,0.6501,0.5208,0.4461,0.3981,0.6147
0.6369,0.7741,0.6625,0.526,0.6588,0.5493,0.6255,0.7616,0.6506,0.6261,0.762,0.6512,0.5189,0.6594,0.5446,0.4731,0.4267,0.6322
