,link,summary,templates,related_status,related_timestep,source
559,https://drive.google.com/file/d/1kCo9JtIcsk6L6P0rLKFW1WUoOy6Jsdbx/view?usp=sharing,(0:08) Risk of physical damage! There are people 7m ahead and in the drone's path. [SEP],"(0:09) The drone is facing the risk of physical damage. It's flying too close to people sitting under tree at a distance of 3.0m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to tree at a distance of 3.0m, and the pilot is not experienced.(0:09) The drone is risking physical damage. It's flying too close to the moving people sitting under tree at a distance of 3.0m.(0:08) The drone is facing the risk of physical damage. There is a people sitting under tree in the drone's flight path at a distance of 7.0m.",,"{""time_stamp"": ""0:09"", ""name"": ""people sitting under tree"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""people sitting under tree"", ""Distance"": 3.0}{""time_stamp"": ""0:08"", ""name"": ""people sitting under tree"", ""Distance"": 7.0}","{""time_stamp"": ""0:09"", ""name"": ""people sitting under tree"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""people sitting under tree"", ""Distance"": 3.0}{""time_stamp"": ""0:08"", ""name"": ""people sitting under tree"", ""Distance"": 7.0}"
36,https://drive.google.com/file/d/17yDDrJw-NRGENwgzK-VsqEsfva6b2DUl/view?usp=sharing,Risk of physical damage! The drone has a damaged frame and empty battery. It’s flying at an altitude of 30m in strong wind. [SEP],The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.The drone is flying in a strong wind of 22m/s with a low battery level at 0%.,"{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""WindSpeed (m/s)"": 22}",,"{""Battery_level"": 0}{""Normal_frame"": false}{""Battery_level"": 0, ""WindSpeed (m/s)"": 22}"
551,https://drive.google.com/file/d/13PaIrFmt94yYYoARVIqRTxqz1QlPZ-Yp/view?usp=sharing,"Risk of physical damage! The drone is flying with empty battery and a damaged frame at a 2m altitude. [SEP]
(0:00) Risk of physical damage! There's a tree 3m away in the flight path. [SEP]
(0:05) Risk of physical damage! Now the tree is 2m away and again in the flight path. [SEP]
(0:06) Risk of physical damage! The drone is flying .5m from the tree now. There's also a person in 7m in the drone's path. [SEP]
(0:10) Risk of physical damage! The drone is flying 2m from another person. [SEP]
(0:16) Risk of physical damage! The tree is 1m away and in the flight path. [SEP]",The flying drone is runing out of battery with only 10% charge.The drone is flying with a damaged frame.(0:10) The drone is risking physical damage. It's flying too close to the moving person beside tree at a distance of 2.0m. (0:07) The drone is risking physical damage. It's flying too close to the moving person on tree at a distance of 3.0m.(0:00) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 3.0m. (0:05) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 2.0m. (0:16) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 1.0m. (0:06) The drone is facing the risk of physical damage. There is a person on tree in the drone's flight path at a distance of 7.0m.,"{""Battery_level"": 10}{""Normal_frame"": false}","{""time_stamp"": ""0:10"", ""name"": ""person beside tree"", ""Distance"": 2.0} {""time_stamp"": ""0:07"", ""name"": ""person on tree"", ""Distance"": 3.0}{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 2.0} {""time_stamp"": ""0:16"", ""name"": ""tree 1"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""person on tree"", ""Distance"": 7.0}","{""Battery_level"": 10}{""Normal_frame"": false}{""time_stamp"": ""0:10"", ""name"": ""person beside tree"", ""Distance"": 2.0} {""time_stamp"": ""0:07"", ""name"": ""person on tree"", ""Distance"": 3.0}{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 2.0} {""time_stamp"": ""0:16"", ""name"": ""tree 1"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""person on tree"", ""Distance"": 7.0}"
97,https://drive.google.com/file/d/1ifOVEBDFRb5-Wez7-UhbQfETh4YfKTpK/view?usp=sharing,There is no obj line for this video,The flying drone is runing out of battery with only 10% charge.The drone is flying in low temperature at 5 degree with a low battery level at 10%.The drone is flying so high at 80m height with a low battery level at 10%.The drone would be damaged physically as it's flying at a high altitude of 80m in a gloomy weather.,"{""Battery_level"": 10}{""Battery_level"": 10, ""Temperature (celcius)"": 5}{""Battery_level"": 10, ""Altitude (m)"": 80}{""weather"": ""gloomy"", ""Altitude (m)"": 80}",,"{""Battery_level"": 10}{""Battery_level"": 10, ""Temperature (celcius)"": 5}{""Battery_level"": 10, ""Altitude (m)"": 80}{""weather"": ""gloomy"", ""Altitude (m)"": 80}"
463,https://drive.google.com/file/d/125Vg57GLCLP6gcLpBlyuRrJfqvBcWsDT/view?usp=sharing,"Risk of physical damage! The drone is flying at a 2m altitude with a low battery. [SEP]
(0:02) Risk of physical damage! A tree 7m ahead is in the flight path. [SEP]
(0:05) Risk of physical damage! There's another tree in the flight path in 5m. [SEP]
(0:08) Risk of physical damage! Now the drone is flying 1m close to the tree. [SEP]","(0:08) The drone is facing the risk of physical damage. It's flying too close to tree 4 at a distance of 1.0m, and the pilot is not experienced.(0:02) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 7.0m. (0:05) The drone is facing the risk of physical damage. There is a tree 4 in the drone's flight path at a distance of 5.0m.",,"{""time_stamp"": ""0:08"", ""name"": ""tree 4"", ""Distance"": 1.0}{""time_stamp"": ""0:02"", ""name"": ""tree 3"", ""Distance"": 7.0} {""time_stamp"": ""0:05"", ""name"": ""tree 4"", ""Distance"": 5.0}","{""time_stamp"": ""0:08"", ""name"": ""tree 4"", ""Distance"": 1.0}{""time_stamp"": ""0:02"", ""name"": ""tree 3"", ""Distance"": 7.0} {""time_stamp"": ""0:05"", ""name"": ""tree 4"", ""Distance"": 5.0}"
343,https://drive.google.com/file/d/1iMMA4SyEJ2awziOAdsooM4v_GuTjaiaZ/view?usp=sharing,Risk of physical damage and lost connection! The battery is empty and the drone is 4434m from the remote. It's flying at a 50m altitude in strong wind. [SEP],The drone has only 0.0% battery and is 4434.0m away from the remote control.The flying drone is runing out of battery with only 0.0% charge.The drone is flying in a strong wind of 21.0m/s with a low battery level at 0.0%.,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}",,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}"
220,https://drive.google.com/file/d/1-8IPxNVXBHsqAJfNt4Ze_WmTbiDgPx5d/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 6m. [SEP]
(0:00) Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. [SEP]
(0:02) Risk of physical damage! Now the tree is in the drone's flight path at a distance of 2m. [SEP]
(0:03) Risk of physical damage! Now the tree is only .5m away. [SEP]",The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 5.0m. (0:02) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 2.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": ""tree 1"", ""Distance"": 2.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": ""tree 1"", ""Distance"": 2.0}"
581,https://drive.google.com/file/d/1ef6LRtuZZTn5qig6X0bOLw4uA7tEh0E4/view?usp=sharing,"Risk of physical damage! The drone is flying in a dark, indoor setting. [SEP]
(0:00) Risk of physical damage! An open window 3m away is in the flight path. [SEP]
(0:02) Risk of physical damage! Now there's a wooden stack 1.5m away in the flight path. [SEP]
(0:03) Risk of physical damage! There's another wooden stack in the drone's path at a distance of 1m. [SEP]
(0:05) Risk of physical damage! Now the drone is flying 2m from another wooden stack. [SEP]
(0:07) Risk of physical damage! Now the wooden stack is only 1m away. [SEP]
(0:10) Risk of physical damage! One of the stacks is again in the flight path at a distance of 1.5m. [SEP]
(0:12) Risk of physical damage! The drone is flying 1.5m from one of the stacks again. [SEP]",The drone is flying in low temperature at 10 degree with a low battery level at 40%.(0:00) The drone is facing the risk of physical damage. There is a open window in the drone's flight path at a distance of 3.0m. (0:02) The drone is facing the risk of physical damage. There is a stack 1 in the drone's flight path at a distance of 1.5m. (0:03) The drone is facing the risk of physical damage. There is a stack 2 in the drone's flight path at a distance of 1.0m. (0:10) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.5m.,"{""Battery_level"": 40, ""Temperature (celcius)"": 10}","{""time_stamp"": ""0:00"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""stack 1"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""stack 2"", ""Distance"": 1.0} {""time_stamp"": ""0:10"", ""name"": NaN, ""Distance"": 1.5}","{""Battery_level"": 40, ""Temperature (celcius)"": 10}{""time_stamp"": ""0:00"", ""name"": ""open window"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""stack 1"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""stack 2"", ""Distance"": 1.0} {""time_stamp"": ""0:10"", ""name"": NaN, ""Distance"": 1.5}"
74,https://drive.google.com/file/d/13R0CUUA3yMzSQNm6zsx-X2h1KVNDzkGq/view?usp=sharing,There is no obj line for this video,The flying drone is runing out of battery with only 10% charge.The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.,"{""Battery_level"": 10}{""waterproof drone?"": false, ""weather"": ""gloomy""}",,"{""Battery_level"": 10}{""waterproof drone?"": false, ""weather"": ""gloomy""}"
303,https://drive.google.com/file/d/1cyc_AlAto7FiPmajSzdNw4AgErKrgSje/view?usp=sharing,"Risk of internal damage! The drone is not waterproof and the weather is overcast. [SEP]
(0:00) Risk of physical damage! There's a tree in 3m in the drone's flight path. [SEP]
(0:02) Risk of physical damage! There's another tree in 5m in the drone's path. [SEP]
(0:04) Risk of physical damage! The drone is 5m from another tree in its path. [SEP]
(0:07) Risk of physical damage! The drone is flying near a tree 2m away. [SEP]","The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:01) The drone is facing the risk of physical damage. It's flying too close to tree 1 at a distance of 3.0m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to tree 5 at a distance of 2.0m, and the pilot is not experienced.(0:01) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 3.0m. (0:02) The drone is facing the risk of physical damage. There is a tree 2 in the drone's flight path at a distance of 5.0m. (0:04) The drone is facing the risk of physical damage. There is a tree 4 in the drone's flight path at a distance of 5.0m.","{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""tree 2"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""tree 4"", ""Distance"": 5.0}","{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 2.0}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": ""tree 2"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""tree 4"", ""Distance"": 5.0}"
