,related_sensor_data,label,oneshot_example,augmented_label
0,"{""Normal_frame"": false}",The drone is flying with a damaged frame.,"[""[{'Normal_frame': false}]"", 'The drone is flying with a damaged frame.']","input: [{'Normal_frame': false}], output: The drone is flying with a damaged frame.
 input:[{'Normal_frame': False}], output:"
1,"{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 3.0}",(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}], output:"
2,"{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.3}",(0:05) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.3m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}], output:"
3,"{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.3}",(0:05) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.,"[""[{'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}]"", ""(0:05) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.""]","input: [{'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}], output: (0:05) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}], output:"
4,"{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 3.0}",(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}], output:"
5,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}",(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}], output:"
6,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}",(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,"[""[{'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}]"", ""(0:05) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.""]","input: [{'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}], output: (0:05) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.3m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}], output:"
7,"{""Normal_frame"": false}",The drone is flying with a damaged frame.,"[""[{'Normal_frame': false}]"", 'The drone is flying with a damaged frame.']","input: [{'Normal_frame': false}], output: The drone is flying with a damaged frame.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'Normal_frame': False}], output:"
8,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0}",(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.0m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'Normal_frame': False}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 1.0}, {'time_stamp': '0:06', 'name': 'car', 'Distance': 0.2}], output:"
9,"{""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}",(0:06) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.,"[""[{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}]"", ""(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.""]","input: [{'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}], output: (0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m.
 input:[{'Normal_frame': False}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:05', 'name': 'car', 'Distance': 0.3}, {'time_stamp': '0:01', 'name': 'car', 'Distance': 3.0}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 0.2}, {'Normal_frame': False}, {'time_stamp': '0:03', 'name': 'car', 'Distance': 1.0}, {'time_stamp': '0:06', 'name': 'car', 'Distance': 0.2}], output:"
