,link,summary,templates,related_status,related_timestep,source
11,https://drive.google.com/file/d/1WMg9MdbJlOVSbOJKD-adoCjm7GSL9wwJ/view?usp=sharing,"Risk of physical damage! The drone's frame is in need of repair. [SEP]
(0:02) Risk of physical damage! The drone is approaching a truck in 8m which is in its path. [SEP]
(0:04) Risk of physical damage! Now the truck in the flight path is 3m ahead. [SEP]
(0:05) Risk of physical damage! The truck in the drone's path is only 1m away. [SEP]","The drone is flying with a damaged frame.(0:04) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:05) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:02) The drone is facing the risk of physical damage. There is a truck in the drone's flight path at a distance of 8.0m. (0:04) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 3.0m. (0:05) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.","{""Normal_frame"": false}","{""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:02"", ""name"": ""truck"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": NaN, ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:02"", ""name"": ""truck"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:05"", ""name"": NaN, ""Distance"": 1.0}"
7,https://drive.google.com/file/d/120WgmUvB6cbtvTrWP41LO2Gh88LkjdEp/view?usp=sharing,Risk of physical damage! The drone is flying backwards. [SEP],,,,
27,https://drive.google.com/file/d/1T9HNzJbKKUbGeWU_GVZeG1qICHWkIC8g/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:00) Risk of physical damage! The drone is flying near a storehouse with an exhaust vent that's 2m away. [SEP]
(0:02) Risk of physical damage! Now the drone is flying .5m from the storehouse. [SEP]
(0:04) Risk of physical damage! The drone is still flying .5m from the storehouse. [SEP]
(0:07) Risk of physical damage! Now the storehouse is 1m from the drone. [SEP]","The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. It's flying too close to storehouse with an exhaust vent at a distance of 2.0m, and the pilot is not experienced. (0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 0.5m, and the pilot is not experienced. (0:04) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 0.5m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.","{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""storehouse with an exhaust vent"", ""Distance"": 2.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""storehouse with an exhaust vent"", ""Distance"": 2.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 1.0}"
26,https://drive.google.com/file/d/1T9HNzJbKKUbGeWU_GVZeG1qICHWkIC8g/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:00) Risk of physical damage! There's a storehouse with an exhaust vent only 2m away. [SEP]
(0:02) Risk of physical damage! Now the storehouse with an exhaust vent is only .5m away. [SEP]
(0:04) Risk of physical damage! Now the storehouse with an exhaust vent is only .5m away. [SEP]
(0:07) Risk of physical damage! Now the storehouse with an exhaust vent is only 1m away. [SEP]","The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. It's flying too close to storehouse with an exhaust vent at a distance of 2.0m, and the pilot is not experienced. (0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 0.5m, and the pilot is not experienced. (0:04) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 0.5m, and the pilot is not experienced. (0:07) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.","{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""storehouse with an exhaust vent"", ""Distance"": 2.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""storehouse with an exhaust vent"", ""Distance"": 2.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 0.5} {""time_stamp"": ""0:07"", ""name"": NaN, ""Distance"": 1.0}"
46,https://drive.google.com/file/d/1ShA7xyVC-uRJ6G2ey7Kxc1JkfZusDK2D/view?usp=sharing,Risk of physical damage! The drone has a damaged frame. [SEP],The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. There is a storehouse in the drone's flight path at a distance of 10.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""storehouse"", ""Distance"": 10.0}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""storehouse"", ""Distance"": 10.0}"
28,https://drive.google.com/file/d/1O8Lz_TXdzUShk6JBxGiYpB-bUclykcHG/view?usp=sharing,"(0:00) Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 5m. There's another storehouse only 2m away. [SEP]
(0:01) Risk of physical damage! Now the storehouse is in the drone's flight path at a distance of 1m. [SEP]","(0:00) The drone is facing the risk of physical damage. It's flying too close to storehouse 1 at a distance of 2.0m, and the pilot is not experienced. (0:01) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a storehouse 2 in the drone's flight path at a distance of 5.0m. (0:01) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.",,"{""time_stamp"": ""0:00"", ""name"": ""storehouse 1"", ""Distance"": 2.0} {""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""storehouse 2"", ""Distance"": 5.0} {""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 1.0}","{""time_stamp"": ""0:00"", ""name"": ""storehouse 1"", ""Distance"": 2.0} {""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""storehouse 2"", ""Distance"": 5.0} {""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 1.0}"
34,https://drive.google.com/file/d/1q-UIss1N7buCdFulydPanudKRSGrswki/view?usp=sharing,"Risk of physical and internal damage! The drone has an empty battery. The weather is overcast and the drone is not waterproof. The drone is flying at an altitude of 3m. [SEP]
(0:00) Risk of physical damage! There's a truck in the drone's flight path at a distance of 8m. There's also a storehouse in the drone's flight path at a distance of 9m. [SEP]
(0:02) Risk of physical damage! Now the truck and storehouse are in the drone's flight path at a distance of 3m. [SEP]
(0:03) Risk of physical damage! Now the storehouse is in the drone's flight path at a distance of 1m. The truck is also only 1m away. [SEP]","The flying drone is runing out of battery with only 0% charge.The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:03) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced. (0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:03) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a truck in the drone's flight path at a distance of 8.0m. (0:02) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 3.0m. (0:00) The drone is facing the risk of physical damage. There is a storehouse in the drone's flight path at a distance of 9.0m. (0:02) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 3.0m. (0:03) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.","{""Battery_level"": 0}{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""truck"", ""Distance"": 8.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:00"", ""name"": ""storehouse"", ""Distance"": 9.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}","{""Battery_level"": 0}{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""truck"", ""Distance"": 8.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:00"", ""name"": ""storehouse"", ""Distance"": 9.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}"
19,https://drive.google.com/file/d/1YJEAqlSVGJhtrimiLRUpQNTJ3JeU-TYE/view?usp=sharing,"Risk of physical damage! The frame on the drone is damaged. [SEP]
(0:02) Risk of physical damage! The drone is flying near a fence 1m away. [SEP]","The drone is flying with a damaged frame.(0:01) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a fence in the drone's flight path at a distance of 10.0m. (0:01) The drone is facing the risk of physical damage. There is a storehouse in the drone's flight path at a distance of 10.0m.","{""Normal_frame"": false}","{""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""fence"", ""Distance"": 10.0} {""time_stamp"": ""0:01"", ""name"": ""storehouse"", ""Distance"": 10.0}","{""Normal_frame"": false}{""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""fence"", ""Distance"": 10.0} {""time_stamp"": ""0:01"", ""name"": ""storehouse"", ""Distance"": 10.0}"
38,https://drive.google.com/file/d/1cO8ncMn2NKNyRtOWg3R9eMvgkI-wzjBL/view?usp=sharing,"Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m. [SEP]
(0:00) Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 5m. [SEP]
(0:02) Risk of physical damage! Now the storehouse is in the drone's flight path at a distance of 2m. [SEP]
(0:03) Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 5m. There's another storehouse only 1m away. [SEP]","(0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 2.0m, and the pilot is not experienced. (0:03) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a storehouse 1 in the drone's flight path at a distance of 5.0m. (0:02) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 2.0m. (0:03) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 5.0m.",,"{""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""storehouse 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 5.0}","{""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""storehouse 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 2.0} {""time_stamp"": ""0:03"", ""name"": NaN, ""Distance"": 5.0}"
18,https://drive.google.com/file/d/1YJEAqlSVGJhtrimiLRUpQNTJ3JeU-TYE/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:02) Risk of physical damage! There's a fence only 1m away. [SEP]","The drone is flying with a damaged frame.(0:01) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 3.0m, and the pilot is not experienced. (0:02) The drone is facing the risk of physical damage. It's flying too close to nan at a distance of 1.0m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a fence in the drone's flight path at a distance of 10.0m. (0:01) The drone is facing the risk of physical damage. There is a storehouse in the drone's flight path at a distance of 10.0m.","{""Normal_frame"": false}","{""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""fence"", ""Distance"": 10.0} {""time_stamp"": ""0:01"", ""name"": ""storehouse"", ""Distance"": 10.0}","{""Normal_frame"": false}{""time_stamp"": ""0:01"", ""name"": NaN, ""Distance"": 3.0} {""time_stamp"": ""0:02"", ""name"": NaN, ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""fence"", ""Distance"": 10.0} {""time_stamp"": ""0:01"", ""name"": ""storehouse"", ""Distance"": 10.0}"
