,link,summary,templates,related_status,related_timestep,source
32,https://drive.google.com/file/d/1iMMA4SyEJ2awziOAdsooM4v_GuTjaiaZ/view?usp=sharing,Risk of physical damage and lost connection! The drone has an empty battery. It’s flying at an altitude of 50m in strong wind. The drone is 4434m away from the remote control. [SEP],The drone has only 0.0% battery and is 4434.0m away from the remote control.The flying drone is runing out of battery with only 0.0% charge.The drone is flying in a strong wind of 21.0m/s with a low battery level at 0.0%.,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}",,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}"
42,https://drive.google.com/file/d/1sfYJSG5Y1KrHNsCxjXOI8jH7Y0aOt0df/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 1m in strong winds. [SEP]
(0:00) Risk of physical damage! There's a speedboat only 1m away. [SEP]
(0:03) Risk of physical damage! Now the speedboat is only .5m away. [SEP]",The flying drone is runing out of battery with only 10.0% charge.The drone is flying in a strong wind of 18.0m/s with a low battery level at 10.0%.,"{""Battery_level"": 10.0}{""Battery_level"": 10.0, ""WindSpeed (m/s)"": 18.0}",,"{""Battery_level"": 10.0}{""Battery_level"": 10.0, ""WindSpeed (m/s)"": 18.0}"
20,https://drive.google.com/file/d/1FDCCI63T1nw4raMYEI-xMu7D1FbTRlwJ/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 20m. [SEP]
(0:00) Risk of physical damage! There's a person on a sailboat in the drone's flight path at a distance of 1m. The sailboat is also only 1m away. [SEP]
(0:01) Risk of physical and human damage! There's a person on the sailboat only .8m away. [SEP]
(0:02) Risk of physical damage! Now the sailboat is in the drone's flight path at a distance of .5m. [SEP]
(0:03) Risk of physical damage! Now the sailboat is only .3m away. [SEP]","The flying drone is runing out of battery with only 20.0% charge.(0:00) The drone is risking physical damage. It's flying too close to the moving person on sailboat at a distance of 1.0m. (0:01) The drone is risking physical damage. It's flying too close to the moving person on sailboat at a distance of 0.8m.(0:00) The drone is facing the risk of physical damage. There is a person on sailboat in the drone's flight path at a distance of 1.0m. (0:02) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.(0:00) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury. (0:01) The drone is flying very close to a human at a distance of 0.8m, and might cause human injury.","{""Battery_level"": 20.0}","{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""name"": ""person on sailboat"", ""Distance"": 0.8}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""Distance"": 0.8}","{""Battery_level"": 20.0}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""name"": ""person on sailboat"", ""Distance"": 0.8}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""Distance"": 0.8}"
31,https://drive.google.com/file/d/1WZxzyDNDXRyPYFjvO59zmP-VdcUMLKZ1/view?usp=sharing,nan,,,,
49,https://drive.google.com/file/d/1gDYqqVm-9y412gXgx6OUvyU32wt9_k9a/view?usp=sharing,"(0:05) Risk of physical damage! There's a sailboat in 1m in the drone's path. [SEP]
(0:08) Risk of physical damage! Now the sailboat in the flight path is .4m away. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 10.0m. (0:05) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 1.0m. (0:08) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.4m.,,"{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:05"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""sailboat"", ""Distance"": 0.4}","{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:05"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""sailboat"", ""Distance"": 0.4}"
18,https://drive.google.com/file/d/11P9Ni3C7zAF4e1V5sVKM-V_eSphtSEmO/view?usp=sharing,Risk of physical damage! The drone has an empty battery. It’s flying at an altitude of 2m. [SEP],The flying drone is runing out of battery with only 0.0% charge.,"{""Battery_level"": 0.0}",,"{""Battery_level"": 0.0}"
5,https://drive.google.com/file/d/13Cee4aO7m87Ldr5tYSHmKsLp0uCyZS5f/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 5m in strong wind. [SEP]
(0:03) Risk of physical damage! There's a sailboat in .5m in the drone's path. [SEP]",The flying drone is runing out of battery with only 20.0% charge.The drone is flying with a damaged frame.The drone is flying in a strong wind of 21.0m/s with a low battery level at 20.0%.(0:01) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 10.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Battery_level"": 20.0}{""Normal_frame"": false}{""Battery_level"": 20.0, ""WindSpeed (m/s)"": 21.0}","{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Battery_level"": 20.0}{""Normal_frame"": false}{""Battery_level"": 20.0, ""WindSpeed (m/s)"": 21.0}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}"
6,https://drive.google.com/file/d/1bBsg0QqD-I-oCyTbD0N6e-G3Vy3NGzy5/view?usp=sharing,(0:04) Risk of physical and human damage! There's a person in the drone's flight path at a distance of .7m. [SEP],"(0:04) The drone is risking physical damage. It's flying too close to the moving person opening arms on sailboat at a distance of 0.7m.(0:01) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 10.0m. (0:04) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 0.7m.(0:04) The drone is flying very close to a human at a distance of 0.7m, and might cause human injury.",,"{""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:04"", ""Distance"": 0.7}","{""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:04"", ""Distance"": 0.7}"
26,https://drive.google.com/file/d/1t7UD-jV5iPifZYTxWpYyMATU4cuKGGEv/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and empty battery. It’s flying at an altitude of 3m. [SEP]
(0:00) Risk of physical damage! There's a sailboat only .5m away. [SEP]
(0:03) Risk of physical damage! Now the sailboat is only .3m away. [SEP]
(0:05) Risk of physical damage! Now the sailboat is only .2m away. [SEP]",The flying drone is runing out of battery with only 0.0% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 0.0}{""Normal_frame"": false}",,"{""Battery_level"": 0.0}{""Normal_frame"": false}"
23,https://drive.google.com/file/d/1bYCObLHR4wgRrk77v0LAW2HRI2ILHZ93/view?usp=sharing,"Risk of physical damage! The frame needs repairing. [SEP]
(0:00) Risk of physical damage! There's a sailboat in the flight path in 8m. [SEP]
(0:03) Risk of physical damage! The sailboat in the flight path is now .5m away. The drone is also flying near a person 1m away. [SEP]","The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving perosn on sailboat at a distance of 1.0m.(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 8.0m. (0:00) The drone is facing the risk of physical damage. There is a person on sailboat in the drone's flight path at a distance of 10.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.(0:03) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury.","{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""perosn on sailboat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""perosn on sailboat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}"
