,link,summary,templates,related_status,related_timestep,source
73,https://drive.google.com/file/d/1wCdPNCJWJkq_FeqoduX6DYQO0y4n3Mkt/view?usp=sharing,"Risk of physical damage and lost connection! The battery is running low and the frame needs repairing. The drone is flying at a 1m altitude, nearly out of range and 4876m from the remote. [SEP]
(0:01) Risk of physical damage! The drone is approaching a tree in its path 5m away. [SEP]
(0:02) Risk of physical damage! There's another tree in the flight path 5m ahead. [SEP]
(0:07) Risk of physical damage! Another tree is 5m ahead and in the drone's path. [SEP]
(0:08) Risk of physical damage! Now there's a pavilion in 8m in the drone's path. [SEP]",The drone has only 30% battery and is 4876m away from the remote control.The drone is flying with a damaged frame.(0:01) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 5.0m. (0:02) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 5.0m. (0:07) The drone is facing the risk of physical damage. There is a tree 5 in the drone's flight path at a distance of 5.0m. (0:08) The drone is facing the risk of physical damage. There is a pavilion in the drone's flight path at a distance of 8.0m.,"{""Distance_from_remote_control (m)"": 4876, ""Battery_level"": 30}{""Normal_frame"": false}","{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": ""tree 3"", ""Distance"": 5.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": ""pavilion"", ""Distance"": 8.0}","{""Distance_from_remote_control (m)"": 4876, ""Battery_level"": 30}{""Normal_frame"": false}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:02"", ""name"": ""tree 3"", ""Distance"": 5.0} {""time_stamp"": ""0:07"", ""name"": ""tree 5"", ""Distance"": 5.0} {""time_stamp"": ""0:08"", ""name"": ""pavilion"", ""Distance"": 8.0}"
32,https://drive.google.com/file/d/1z_Ajzo5ZjUlXI0WpSVkTsTAcZxl2a196/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:03) Risk of physical damage! There's a hallway in the drone's flight path at a distance of 8m. [SEP]
(0:04) Risk of physical damage! Now the hallway is in the drone's flight path at a distance of 2m. [SEP]",The drone is flying with a damaged frame.(0:03) The drone is facing the risk of physical damage. There is a hallway in the drone's flight path at a distance of 8.0m. (0:04) The drone is facing the risk of physical damage. There is a hallway in the drone's flight path at a distance of 2.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""hallway"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": ""hallway"", ""Distance"": 2.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""hallway"", ""Distance"": 8.0} {""time_stamp"": ""0:04"", ""name"": ""hallway"", ""Distance"": 2.0}"
41,https://drive.google.com/file/d/1zOvzhokW_IdMqYM0RM5PTxQzPOveyEgV/view?usp=sharing,"(0:03) Risk of physical damage! The drone is flying toward a tree in its path 8m away. [SEP]
(0:07) Risk of physical damage! Now another tree is in the flight path at a distance of 5m. The drone is also flying 1.5m away from another tree. [SEP]",(0:03) The drone is facing the risk of physical damage. There is a tree 2 in the drone's flight path at a distance of 8.0m. (0:07) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 5.0m.,,"{""time_stamp"": ""0:03"", ""name"": ""tree 2"", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": ""tree 3"", ""Distance"": 5.0}","{""time_stamp"": ""0:03"", ""name"": ""tree 2"", ""Distance"": 8.0} {""time_stamp"": ""0:07"", ""name"": ""tree 3"", ""Distance"": 5.0}"
98,https://drive.google.com/file/d/1PldT0LM1FKOVtUV3ics6cfxRiu3WSgd8/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 2m. [SEP]
(0:00) Risk of physical damage! There's a tree in the drone's flight path at a distance of 8m. [SEP]
(0:05) Risk of physical damage! Now the tree is in the drone's flight path at a distance of 1.5m. [SEP]
(0:14) Risk of physical damage! Now the tree is only .5m away. [SEP]","The drone is flying with a damaged frame.(0:05) The drone is facing the risk of physical damage. It's flying too close to tree 1 at a distance of 1.5m, and the pilot is not experienced. (0:14) The drone is facing the risk of physical damage. It's flying too close to tree 1 at a distance of 0.5m, and the pilot is not experienced.(0:00) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 8.0m. (0:05) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 1.5m.","{""Normal_frame"": false}","{""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 1.5} {""time_stamp"": ""0:14"", ""name"": ""tree 1"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 8.0} {""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 1.5}","{""Normal_frame"": false}{""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 1.5} {""time_stamp"": ""0:14"", ""name"": ""tree 1"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""name"": ""tree 1"", ""Distance"": 8.0} {""time_stamp"": ""0:05"", ""name"": ""tree 1"", ""Distance"": 1.5}"
123,https://drive.google.com/file/d/1ishhOf5PMC2wQ2ACtXxfsWM4llNQO3_L/view?usp=sharing,"(0:07) Risk of physical damage! There's a building in 5m in the flight path. [SEP]
(0:08) Risk of physical damage! Now the drone is flying 2m from the building. [SEP]",(0:07) The drone is facing the risk of physical damage. There is a building in the drone's flight path at a distance of 5.0m.,,"{""time_stamp"": ""0:07"", ""name"": ""building"", ""Distance"": 5.0}","{""time_stamp"": ""0:07"", ""name"": ""building"", ""Distance"": 5.0}"
5,https://drive.google.com/file/d/104p6p70MNuFRofwz8Em2OcOh1VypPIhe/view?usp=sharing,"Risk of physical damage! The drone's frame is damaged and the battery is running low, while flying at a 5m altitude.[SEP]
(0:00) Risk of physical damage! The castle wall is only .5m from the drone. [SEP]
(0:01) Risk of physical damage! There's another castle wall which is in the drone's path and only 1.5m away. [SEP]
(0:03) Risk of physical damage! Now that wall is only 1m away. [SEP]","The flying drone is runing out of battery with only 20% charge.The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. It's flying too close to wall in castle 1 at a distance of 0.5m, and the pilot is not experienced. (0:01) The drone is facing the risk of physical damage. It's flying too close to wall in castle 2 at a distance of 1.5m, and the pilot is not experienced. (0:03) The drone is facing the risk of physical damage. It's flying too close to wall in castle 2 at a distance of 1.0m, and the pilot is not experienced.(0:01) The drone is facing the risk of physical damage. There is a wall in castle 2 in the drone's flight path at a distance of 1.5m.","{""Battery_level"": 20}{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""wall in castle 1"", ""Distance"": 0.5} {""time_stamp"": ""0:01"", ""name"": ""wall in castle 2"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""wall in castle 2"", ""Distance"": 1.0}{""time_stamp"": ""0:01"", ""name"": ""wall in castle 2"", ""Distance"": 1.5}","{""Battery_level"": 20}{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""wall in castle 1"", ""Distance"": 0.5} {""time_stamp"": ""0:01"", ""name"": ""wall in castle 2"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""wall in castle 2"", ""Distance"": 1.0}{""time_stamp"": ""0:01"", ""name"": ""wall in castle 2"", ""Distance"": 1.5}"
114,https://drive.google.com/file/d/1s6HtMEsu6NNImDJ7f_lvZsV0-hO9qJUp/view?usp=sharing,"Risk of physical damage and Lost Connection! The drone has low battery. It’s flying at an altitude of 3m. The drone is 4191m away from the remote control. [SEP]
(0:03) Risk of physical damage! There's a tree in the drone's flight path at a distance of 7m. [SEP]
(0:05) Risk of physical damage! Now the tree is only 1.5m away. [SEP]",The drone has only 20% battery and is 4191m away from the remote control.The flying drone is runing out of battery with only 20% charge.(0:03) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 7.0m.,"{""Distance_from_remote_control (m)"": 4191, ""Battery_level"": 20}{""Battery_level"": 20}","{""time_stamp"": ""0:03"", ""name"": ""tree 3"", ""Distance"": 7.0}","{""Distance_from_remote_control (m)"": 4191, ""Battery_level"": 20}{""Battery_level"": 20}{""time_stamp"": ""0:03"", ""name"": ""tree 3"", ""Distance"": 7.0}"
132,https://drive.google.com/file/d/1-DZgu_9-13fYK_LNBvuXkyg448LNlfHh/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 2m in a low-temperature setting. [SEP]
(0:01) Risk of physical damage! There's a tree in the drone's flight path at a distance of 3m. [SEP]
(0:04) Risk of physical damage! Now the tree is only 1m away. [SEP]
(0:07) Risk of physical damage! There's another tree in the drone's flight path at a distance of 3m. [SEP]
(0:15) Risk of physical damage! There's a parapet only 1m away. [SEP]
(0:16) Risk of physical damage! There's a light only 1.5m away. [SEP]",The flying drone is runing out of battery with only 20% charge.The drone is flying in low temperature at 7 degree with a low battery level at 20%.(0:01) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 3.0m. (0:07) The drone is facing the risk of physical damage. There is a tree 2 in the drone's flight path at a distance of 3.0m.,"{""Battery_level"": 20}{""Battery_level"": 20, ""Temperature (celcius)"": 7}","{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 2"", ""Distance"": 3.0}","{""Battery_level"": 20}{""Battery_level"": 20, ""Temperature (celcius)"": 7}{""time_stamp"": ""0:01"", ""name"": ""tree 1"", ""Distance"": 3.0} {""time_stamp"": ""0:07"", ""name"": ""tree 2"", ""Distance"": 3.0}"
70,https://drive.google.com/file/d/1AhEBbxeplwqk7JExAq5blmNxVnBVRtC_/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 1m. [SEP]
(0:01) Risk of physical damage! There's a tree only 1m away. [SEP]
(0:02) Risk of physical damage! There's yellow in the drone's flight path at a distance of .5m. There's also a fallen tree in the drone's flight path at a distance of 8m. [SEP]
(0:03) Risk of physical damage! Now the fallen tree only 1m away. [SEP]
(0:08) Risk of physical damage! Now the fallen tree only 1m away. [SEP]
(0:09) Risk of physical damage! Now the fallen tree only .5m away. [SEP]",The flying drone is runing out of battery with only 20% charge.The drone is flying with a damaged frame.The drone is flying in low temperature at 10 degree with a low battery level at 20%.(0:02) The drone is facing the risk of physical damage. There is a yellow tape in the drone's flight path at a distance of 0.5m. (0:02) The drone is facing the risk of physical damage. There is a fallen tree in the drone's flight path at a distance of 8.0m.,"{""Battery_level"": 20}{""Normal_frame"": false}{""Battery_level"": 20, ""Temperature (celcius)"": 10}","{""time_stamp"": ""0:02"", ""name"": ""yellow tape"", ""Distance"": 0.5} {""time_stamp"": ""0:02"", ""name"": ""fallen tree"", ""Distance"": 8.0}","{""Battery_level"": 20}{""Normal_frame"": false}{""Battery_level"": 20, ""Temperature (celcius)"": 10}{""time_stamp"": ""0:02"", ""name"": ""yellow tape"", ""Distance"": 0.5} {""time_stamp"": ""0:02"", ""name"": ""fallen tree"", ""Distance"": 8.0}"
155,https://drive.google.com/file/d/1oYWBh-N2cXmqb7aOEJ9P5-BTr9TOG2DY/view?usp=sharing,(0:03) Risk of physical damage! The drone is flying 1.5m from a window. [SEP],,,,
