,link,summary,templates,related_status,related_timestep,source
33,https://drive.google.com/file/d/11uw7RK2ZdRP7PYfuqGXSjQerRnehN2dj/view?usp=sharing,"Risk of physical and internal damage! The drone's frame is damaged. The drone is also not waterproof and the weather is overcast. [SEP]
(0:09) Risk of physical damage! There's a steel arch of a bridge in 1m and in the drone's path. [SEP]
(0:18) Risk of physical damage! Now there's a freight train in 3m in the drone's path. [SEP]","The drone is flying with a damaged frame.The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:09) The drone is facing the risk of physical damage. It's flying too close to steel arche of the bridge at a distance of 1.0m, and the pilot is not experienced. (0:18) The drone is facing the risk of physical damage. It's flying too close to freight train at a distance of 3.0m, and the pilot is not experienced.(0:09) The drone is facing the risk of physical damage. There is a steel arche of the bridge in the drone's flight path at a distance of 1.0m. (0:18) The drone is facing the risk of physical damage. There is a freight train in the drone's flight path at a distance of 3.0m.","{""Normal_frame"": false}{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}","{""Normal_frame"": false}{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}"
38,https://drive.google.com/file/d/1zVAO6y2-k-Bip9xLDWD_yd7K-lpuFYCF/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. It's flying indoors. [SEP]
(0:00) Risk of physical damage! There's a floor only 1m away. [SEP]
(0:02) Risk of physical damage! There's a pillar in the drone's flight path at a distance of 1.5m. [SEP]
(0:03) Risk of physical damage! There's another pillar in the drone's flight path at a distance of 1.5m. [SEP]
(0:05) Risk of physical damage! There's a wall only 1.5m away. [SEP]
(0:06) Risk of physical damage! Now there's a wall in the drone's flight path at a distance of 1m. [SEP]
(0:07) Risk of physical damage! There are 2 walls only 0.5m away. [SEP]
(0:09) Risk of physical damage! There's a person standing in the drone's flight path at a distance of 5m. [SEP]
(0:10) Risk of physical damage! There's a wall in the drone's flight path at a distance of 0.5m. [SEP]",The drone is flying with a damaged frame.(0:02) The drone is facing the risk of physical damage. There is a pillar 1 in the drone's flight path at a distance of 1.5m. (0:03) The drone is facing the risk of physical damage. There is a pillar 2 in the drone's flight path at a distance of 1.5m. (0:06) The drone is facing the risk of physical damage. There is a wall 2 in the drone's flight path at a distance of 1.0m. (0:09) The drone is facing the risk of physical damage. There is a person standing 3 in the drone's flight path at a distance of 5.0m. (0:10) The drone is facing the risk of physical damage. There is a wall 5 in the drone's flight path at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:02"", ""name"": ""pillar 1"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""pillar 2"", ""Distance"": 1.5} {""time_stamp"": ""0:06"", ""name"": ""wall 2"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""person standing 3"", ""Distance"": 5.0} {""time_stamp"": ""0:10"", ""name"": ""wall 5"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:02"", ""name"": ""pillar 1"", ""Distance"": 1.5} {""time_stamp"": ""0:03"", ""name"": ""pillar 2"", ""Distance"": 1.5} {""time_stamp"": ""0:06"", ""name"": ""wall 2"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""person standing 3"", ""Distance"": 5.0} {""time_stamp"": ""0:10"", ""name"": ""wall 5"", ""Distance"": 0.5}"
35,https://drive.google.com/file/d/1ytEoOWQ-SmeyJQSmjmsl_vyWoIkH74ZT/view?usp=sharing,"Risk of physical damage! The frame on the drone is in need of repair and the battery is empty. The outdoor temperature is also low. [SEP]
(0:00) Risk of physical damage! There's a freight train in the path in 5m. [SEP]
(0:04) Risk of physical damage! Now the freight train in the drone's path is only 1m away. [SEP]
(0:05) Risk of physical damage! The drone is now flying 0.5m from the freight train. [SEP]",The drone is flying in low temperature at 6 degree with a low battery level at 0%.(0:00) The drone is facing the risk of physical damage. There is a freight train in the drone's flight path at a distance of 5.0m. (0:04) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.,"{""Battery_level"": 0, ""Temperature (celcius)"": 6}","{""time_stamp"": ""0:00"", ""name"": ""freight train"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 1.0}","{""Battery_level"": 0, ""Temperature (celcius)"": 6}{""time_stamp"": ""0:00"", ""name"": ""freight train"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": NaN, ""Distance"": 1.0}"
0,https://drive.google.com/file/d/1HH7Hrq34s5fo0s9_V-6qys3R-FXV7te8/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It is flying at an altitude of 20m. [SEP]
(0:02) Risk of physical damage! There are stairs in the drone's flight path at a distance of 3m. There's also a building only 2m away. [SEP]
(0:03) Risk of physical damage! Now the building is only 1m away. Now the stairs are only 1.5m away. [SEP]
(0:13) Risk of physical damage! Now the building is in the drone's flight path at a distance of 1m. [SEP]
(0:14) Risk of physical damage! Now the building is only 1m away. [SEP]",The drone is flying with a damaged frame.(0:02) The drone is facing the risk of physical damage. There is a stairs in the drone's flight path at a distance of 3.0m. (0:13) The drone is facing the risk of physical damage. There is a nan in the drone's flight path at a distance of 1.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:02"", ""name"": ""stairs"", ""Distance"": 3.0} {""time_stamp"": ""0:13"", ""name"": NaN, ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:02"", ""name"": ""stairs"", ""Distance"": 3.0} {""time_stamp"": ""0:13"", ""name"": NaN, ""Distance"": 1.0}"
32,https://drive.google.com/file/d/11uw7RK2ZdRP7PYfuqGXSjQerRnehN2dj/view?usp=sharing,"Risk of physical and internal damage! The drone has a damaged frame. The weather is overcast and the drone is not waterproof. [SEP]
(0:09) Risk of physical damage! There's a steel arch of a bridge in the drone's flight path at a distance of 1m. [SEP]
(0:18) Risk of physical damage! Now there's a freight train in the drone's flight path at a distance of 3m. [SEP]","The drone is flying with a damaged frame.The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:09) The drone is facing the risk of physical damage. It's flying too close to steel arche of the bridge at a distance of 1.0m, and the pilot is not experienced. (0:18) The drone is facing the risk of physical damage. It's flying too close to freight train at a distance of 3.0m, and the pilot is not experienced.(0:09) The drone is facing the risk of physical damage. There is a steel arche of the bridge in the drone's flight path at a distance of 1.0m. (0:18) The drone is facing the risk of physical damage. There is a freight train in the drone's flight path at a distance of 3.0m.","{""Normal_frame"": false}{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}","{""Normal_frame"": false}{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}{""time_stamp"": ""0:09"", ""name"": ""steel arche of the bridge"", ""Distance"": 1.0} {""time_stamp"": ""0:18"", ""name"": ""freight train"", ""Distance"": 3.0}"
13,https://drive.google.com/file/d/1JTDHqiFzmdarY94d04PTGZhhzTBcsKSS/view?usp=sharing,"Risk of physical damage! The battery is completely empty. The drone is flying in a dark indoor setting with a damaged frame at an altitude of 1m. [SEP]
(0:00) Risk of physical damage! The drone is flying next to a wall only 0.5m away. [SEP] 
(0:03) Risk of physical damage! There's a doorway in 7m in the flight path. [SEP]
(0:04) Risk of physical damage! The drone is flying 1m from the doorway now. [SEP]
(0:06) Risk of physical damage! There's a door in 1m in the drone's path. There's also a bucket only 1.5m away. [SEP]
(0:07) Risk of physical damage! A doorway in 2m is in the drone's path. [SEP]
(0:09) Risk of physical damage! Now the drone is flying 0.5m from the doorway. [SEP]
(0:13) Risk of physical damage! There's a window in 2m in the drone's flight path. [SEP]
(0:19) Risk of physical damage! Now the window is 0.5m from the drone. [SEP]
(0:21) Risk of physical damage! There's another doorway in 5m in the flight path. [SEP]",The flying drone is runing out of battery with only 0% charge.The drone is flying with a damaged frame.(0:03) The drone is facing the risk of physical damage. There is a doorway 1 in the drone's flight path at a distance of 7.0m. (0:06) The drone is facing the risk of physical damage. There is a doorway 2 in the drone's flight path at a distance of 1.0m. (0:07) The drone is facing the risk of physical damage. There is a doorway 3 in the drone's flight path at a distance of 2.0m. (0:13) The drone is facing the risk of physical damage. There is a window in the drone's flight path at a distance of 2.0m. (0:21) The drone is facing the risk of physical damage. There is a doorway in the drone's flight path at a distance of 5.0m.,"{""Battery_level"": 0}{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""doorway 1"", ""Distance"": 7.0} {""time_stamp"": ""0:06"", ""name"": ""doorway 2"", ""Distance"": 1.0} {""time_stamp"": ""0:07"", ""name"": ""doorway 3"", ""Distance"": 2.0} {""time_stamp"": ""0:13"", ""name"": ""window"", ""Distance"": 2.0} {""time_stamp"": ""0:21"", ""name"": ""doorway"", ""Distance"": 5.0}","{""Battery_level"": 0}{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""doorway 1"", ""Distance"": 7.0} {""time_stamp"": ""0:06"", ""name"": ""doorway 2"", ""Distance"": 1.0} {""time_stamp"": ""0:07"", ""name"": ""doorway 3"", ""Distance"": 2.0} {""time_stamp"": ""0:13"", ""name"": ""window"", ""Distance"": 2.0} {""time_stamp"": ""0:21"", ""name"": ""doorway"", ""Distance"": 5.0}"
23,https://drive.google.com/file/d/1ePY_5tFpvziaYEUy_w_IIH1ABQI9kmlb/view?usp=sharing,"Risk of physical and internal Damage! The drone is flying both indoors and outdoors, where the weather is overcast and the drone is not waterproof. [SEP]
(0:01) Risk of physical damage! There's doorway in 1m in the drone's path. [SEP]
(0:06) Risk of physical damage! There's a mesh floor 1m away which is in the drone's flight path. [SEP]
(0:11) Risk of physical damage! The drone is flying1.5m from a steel pillar. [SEP]
(0:13) Risk of physical damage! There's another doorway in the flight path in 1.5m. The drone is also flying 1.5m from a brick wall. [SEP]
(0:15) Risk of physical damage! There's an open window in the drone's path in 1m. The drone is also flying 1m from a wall. [SEP]
(0:17) Risk of physical damage! The drone is flying 0.5m from two walls. [SEP]",The drone is facing a risk of internal damage as it's flying in gloomy weather and not waterproof.(0:01) The drone is facing the risk of physical damage. There is a doorway 1 in the drone's flight path at a distance of 1.0m. (0:06) The drone is facing the risk of physical damage. There is a mesh floor in the drone's flight path at a distance of 1.0m. (0:13) The drone is facing the risk of physical damage. There is a doorway in the drone's flight path at a distance of 1.5m. (0:15) The drone is facing the risk of physical damage. There is a open window in the drone's flight path at a distance of 1.0m.,"{""waterproof drone?"": false, ""weather"": ""gloomy""}","{""time_stamp"": ""0:01"", ""name"": ""doorway 1"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""mesh floor"", ""Distance"": 1.0} {""time_stamp"": ""0:13"", ""name"": ""doorway"", ""Distance"": 1.5} {""time_stamp"": ""0:15"", ""name"": ""open window"", ""Distance"": 1.0}","{""waterproof drone?"": false, ""weather"": ""gloomy""}{""time_stamp"": ""0:01"", ""name"": ""doorway 1"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""mesh floor"", ""Distance"": 1.0} {""time_stamp"": ""0:13"", ""name"": ""doorway"", ""Distance"": 1.5} {""time_stamp"": ""0:15"", ""name"": ""open window"", ""Distance"": 1.0}"
10,https://drive.google.com/file/d/1I29VgjXqtK6rk2JP7UVbuy96Pg74imbu/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and is flying indoors. [SEP]
(0:04) Risk of physical damage! There's a wooden column in the drone's flight path at a distance of 1m. [SEP]
(0:08) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 1m. [SEP]
(0:09) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 1m.  There's another wooden column in the drone's flight path at a distance of 0.5m. [SEP]
(0:10) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 0.5m. [SEP]
(0:11) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 0.5m [SEP]
(0:12) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 0.5m [SEP]
(0:14) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 0.5m [SEP]
(0:19) Risk of physical damage! There's another wooden column in the drone's flight path at a distance of 1m [SEP]",The drone is flying with a damaged frame.(0:04) The drone is facing the risk of physical damage. There is a wood stair 1 in the drone's flight path at a distance of 1.0m. (0:08) The drone is facing the risk of physical damage. There is a wood stair 2 in the drone's flight path at a distance of 1.0m. (0:09) The drone is facing the risk of physical damage. There is a wood stair 3 in the drone's flight path at a distance of 1.0m. (0:09) The drone is facing the risk of physical damage. There is a wood stair 4 in the drone's flight path at a distance of 0.5m. (0:10) The drone is facing the risk of physical damage. There is a wood stair 5 in the drone's flight path at a distance of 0.5m. (0:10) The drone is facing the risk of physical damage. There is a wood stair 6 in the drone's flight path at a distance of 0.5m. (0:10) The drone is facing the risk of physical damage. There is a wood stair 7 in the drone's flight path at a distance of 0.5m. (0:10) The drone is facing the risk of physical damage. There is a wood stair 8 in the drone's flight path at a distance of 0.5m. (0:11) The drone is facing the risk of physical damage. There is a wood stair 9 in the drone's flight path at a distance of 0.5m. (0:11) The drone is facing the risk of physical damage. There is a wood stair 10 in the drone's flight path at a distance of 0.5m. (0:11) The drone is facing the risk of physical damage. There is a wood stair 11 in the drone's flight path at a distance of 0.5m. (0:11) The drone is facing the risk of physical damage. There is a wood stair 12 in the drone's flight path at a distance of 0.5m. (0:11) The drone is facing the risk of physical damage. There is a wood stair 13 in the drone's flight path at a distance of 0.5m. (0:12) The drone is facing the risk of physical damage. There is a wood stair 14 in the drone's flight path at a distance of 0.5m. (0:14) The drone is facing the risk of physical damage. There is a wood stair 15 in the drone's flight path at a distance of 0.5m. (0:19) The drone is facing the risk of physical damage. There is a wall 2 in the drone's flight path at a distance of 1.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:04"", ""name"": ""wood stair 1"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""wood stair 2"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""wood stair 3"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""wood stair 4"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 5"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 6"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 7"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 8"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 9"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 10"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 11"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 12"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 13"", ""Distance"": 0.5} {""time_stamp"": ""0:12"", ""name"": ""wood stair 14"", ""Distance"": 0.5} {""time_stamp"": ""0:14"", ""name"": ""wood stair 15"", ""Distance"": 0.5} {""time_stamp"": ""0:19"", ""name"": ""wall 2"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:04"", ""name"": ""wood stair 1"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""wood stair 2"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""wood stair 3"", ""Distance"": 1.0} {""time_stamp"": ""0:09"", ""name"": ""wood stair 4"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 5"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 6"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 7"", ""Distance"": 0.5} {""time_stamp"": ""0:10"", ""name"": ""wood stair 8"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 9"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 10"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 11"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 12"", ""Distance"": 0.5} {""time_stamp"": ""0:11"", ""name"": ""wood stair 13"", ""Distance"": 0.5} {""time_stamp"": ""0:12"", ""name"": ""wood stair 14"", ""Distance"": 0.5} {""time_stamp"": ""0:14"", ""name"": ""wood stair 15"", ""Distance"": 0.5} {""time_stamp"": ""0:19"", ""name"": ""wall 2"", ""Distance"": 1.0}"
29,https://drive.google.com/file/d/1DIVxuBUSRlj_-sAHoc9cLmZv-KTXDPw9/view?usp=sharing,"(0:03) Risk of physical damage! There's a tree in 5m in the drone's path. [SEP]
(0:09) Risk of physical damage! There's another tree in the drone's path at a distance of 3m. [SEP]
(0:11) Risk of physical damage! The drone is flying near post which is 1m away. [SEP]
(0:12) Risk of physical damage! Another post is also only 1m from the drone. [SEP]","(0:04) The drone is facing the risk of physical damage. It's flying too close to tree 2 at a distance of 3.0m, and the pilot is not experienced. (0:09) The drone is facing the risk of physical damage. It's flying too close to tree 3 at a distance of 3.0m, and the pilot is not experienced. (0:10) The drone is facing the risk of physical damage. It's flying too close to stick 1 at a distance of 3.0m, and the pilot is not experienced. (0:11) The drone is facing the risk of physical damage. It's flying too close to stick 2 at a distance of 1.0m, and the pilot is not experienced. (0:12) The drone is facing the risk of physical damage. It's flying too close to stick 3 at a distance of 1.0m, and the pilot is not experienced.(0:03) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 5.0m. (0:09) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 3.0m.",,"{""time_stamp"": ""0:04"", ""name"": ""tree 2"", ""Distance"": 3.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0} {""time_stamp"": ""0:10"", ""name"": ""stick 1"", ""Distance"": 3.0} {""time_stamp"": ""0:11"", ""name"": ""stick 2"", ""Distance"": 1.0} {""time_stamp"": ""0:12"", ""name"": ""stick 3"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0}","{""time_stamp"": ""0:04"", ""name"": ""tree 2"", ""Distance"": 3.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0} {""time_stamp"": ""0:10"", ""name"": ""stick 1"", ""Distance"": 3.0} {""time_stamp"": ""0:11"", ""name"": ""stick 2"", ""Distance"": 1.0} {""time_stamp"": ""0:12"", ""name"": ""stick 3"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0}"
28,https://drive.google.com/file/d/1DIVxuBUSRlj_-sAHoc9cLmZv-KTXDPw9/view?usp=sharing,"(0:03) Risk of physical damage! There's a tree in the drone's flight path at a distance of 5m. [SEP]
(0:09) Risk of physical damage! There's another tree in the drone's flight path at a distance of 3m. [SEP]
(0:11) Risk of physical damage! There's a post only 1m away. [SEP]
(0:12) Risk of physical damage! There's another post only 1m away. [SEP]","(0:04) The drone is facing the risk of physical damage. It's flying too close to tree 2 at a distance of 3.0m, and the pilot is not experienced. (0:09) The drone is facing the risk of physical damage. It's flying too close to tree 3 at a distance of 3.0m, and the pilot is not experienced. (0:10) The drone is facing the risk of physical damage. It's flying too close to stick 1 at a distance of 3.0m, and the pilot is not experienced. (0:11) The drone is facing the risk of physical damage. It's flying too close to stick 2 at a distance of 1.0m, and the pilot is not experienced. (0:12) The drone is facing the risk of physical damage. It's flying too close to stick 3 at a distance of 1.0m, and the pilot is not experienced.(0:03) The drone is facing the risk of physical damage. There is a tree 1 in the drone's flight path at a distance of 5.0m. (0:09) The drone is facing the risk of physical damage. There is a tree 3 in the drone's flight path at a distance of 3.0m.",,"{""time_stamp"": ""0:04"", ""name"": ""tree 2"", ""Distance"": 3.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0} {""time_stamp"": ""0:10"", ""name"": ""stick 1"", ""Distance"": 3.0} {""time_stamp"": ""0:11"", ""name"": ""stick 2"", ""Distance"": 1.0} {""time_stamp"": ""0:12"", ""name"": ""stick 3"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0}","{""time_stamp"": ""0:04"", ""name"": ""tree 2"", ""Distance"": 3.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0} {""time_stamp"": ""0:10"", ""name"": ""stick 1"", ""Distance"": 3.0} {""time_stamp"": ""0:11"", ""name"": ""stick 2"", ""Distance"": 1.0} {""time_stamp"": ""0:12"", ""name"": ""stick 3"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""tree 1"", ""Distance"": 5.0} {""time_stamp"": ""0:09"", ""name"": ""tree 3"", ""Distance"": 3.0}"
